Hour,0,1,2
0,0.0,0.0,0.0
1,0.0,0.0,0.0
2,0.0,0.0,0.0
3,0.0,0.0,0.0
4,0.0,0.0,0.0
5,0.0,0.0,0.0
6,0.0,0.0,0.0
7,46.13184767333334,39.049077365166724,31.96630705700001
8,1476.649236222889,1469.129890428461,1461.6105446340332
9,2633.886991606445,2046.8907422104674,2618.0114182867674
10,3513.1614422111115,0.0,0.0
11,3064.0251764721984,3670.1958536783063,832.5737835741252
12,0.0,3122.4615204334004,3114.4587513708007
13,0.0,0.0,2000.5039364926001
14,0.0,0.0,0.0
15,0.0,0.0,0.0
16,0.0,0.0,0.0
17,0.0,0.0,0.0
18,0.0,0.0,0.0
19,0.0,0.0,0.0
20,0.0,0.0,0.0
21,0.0,0.0,0.0
22,0.0,0.0,0.0
23,0.0,0.0,0.0
24,0.0,0.0,0.0
25,0.0,0.0,0.0
26,0.0,0.0,0.0
27,0.0,0.0,0.0
28,815.2727745209993,812.2007171840243,809.1286598470492
29,5918.0178041860245,5914.701629490674,5911.385454795326
30,7391.666761079123,7387.657120406101,7383.647479733079
31,12049.264615781074,12044.1181942756,12038.971772770126
32,20063.802785100444,20057.618100877957,20051.43341665547
33,27585.237808531117,27579.084904344396,27572.93200015767
34,39165.933874555994,39159.458853019896,39152.9838314838
35,36071.00228157267,36064.79375676199,36058.5852319513
36,33959.055990751775,33953.07974357057,33947.10349638936
37,25162.26457458156,25156.184453346097,25150.104332110637
38,22430.70526370156,22424.5507538441,22418.396243986637
39,14828.806365330667,14822.277117713935,14815.7478700972
40,11798.890924809559,11792.262975729796,11785.635026650034
41,8649.04920870422,8642.225695721827,5127.048337478131
42,6746.63785123689,6739.660482867812,6732.6831144987345
43,723.009434619226,2514.499275109567,2507.2644162098
44,0.0,0.0,0.0
45,0.0,0.0,0.0
46,0.0,0.0,0.0
47,0.0,0.0,0.0
48,0.0,0.0,0.0
49,0.0,0.0,0.0
50,0.0,0.0,0.0
51,0.0,0.0,0.0
52,0.0,0.0,0.0
53,0.0,0.0,0.0
54,3644.3048977074727,3641.1244215501592,3637.943945392846
55,11742.15132458597,11738.511921350619,11734.87251811527
56,11040.844673117426,11036.43948209536,11032.034291073298
57,26856.097305533913,26850.826141822265,26845.554978110613
58,37269.27697250222,37263.339372514776,37257.40177252733
59,44552.780147416095,44883.5541193321,44877.57604424264
60,50208.59147400001,49958.44270861504,49952.341519215406
61,41734.78062442045,41728.696625130964,41722.61262584147
62,39250.33686746113,39243.92241689766,39237.507966334175
63,34245.18548698067,34238.792221255186,34232.3989555297
64,24000.799502326892,23994.411403635062,23988.023304943235
65,18098.617643886224,18092.216460933378,18085.815277980535
66,7127.597449238198,7002.739000719153,6877.8805522001085
67,5179.846728454,5173.31951431535,5166.7923001767
68,0.0,0.0,0.0
69,0.0,0.0,0.0
70,0.0,0.0,0.0
71,0.0,0.0,0.0
72,0.0,0.0,0.0
73,0.0,0.0,0.0
74,0.0,0.0,0.0
75,0.0,0.0,0.0
76,0.0,0.0,0.0
77,0.0,0.0,0.0
78,0.0,0.0,0.0
79,0.0,0.0,0.0
80,0.0,0.0,0.0
81,0.0,0.0,0.0
82,4427.543448038,4420.95894093895,4414.3744338399
83,15666.500347635334,15659.854397276218,15653.2084469171
84,23836.806133187114,23830.285375066793,23823.764616946468
85,25866.147456180224,25859.87904933473,25853.610642489235
86,20146.629087404224,20140.498145889327,20134.367204374434
87,13783.61613237889,13777.438670888361,13771.261209397833
88,10261.38611734489,10255.037254778512,10248.688392212134
89,3807.7995815948716,5585.802630674707,1325.0752137497263
90,0.0,486.1818491320459,957.6443329128001
91,0.0,0.0,0.0
92,0.0,0.0,0.0
93,0.0,0.0,0.0
94,0.0,0.0,0.0
95,0.0,0.0,0.0
96,0.0,0.0,0.0
97,0.0,0.0,0.0
98,0.0,0.0,0.0
99,0.0,0.0,0.0
