Hour,0,1,2
0,0.0,0.0,0.0
1,0.0,0.0,0.0
2,0.0,0.0,0.0
3,0.0,0.0,0.0
4,0.0,0.0,0.0
5,0.0,0.0,0.0
6,0.0,0.0,0.0
7,24.60365209244439,20.82617459475557,21.310871371333317
8,787.546259318874,783.535941561846,974.4070297560221
9,1404.7397288567706,0.0,0.0
10,1873.6861025125934,0.0,0.0
11,1634.146760785172,1957.4377886284299,2441.320472268111
12,0.0,1599.575384083158,2076.3058342472004
13,0.0,1071.3489970056712,1131.9412670879356
14,0.0,0.0,0.0
15,0.0,0.0,0.0
16,0.0,0.0,0.0
17,0.0,0.0,0.0
18,0.0,0.0,0.0
19,0.0,0.0,0.0
20,0.0,0.0,0.0
21,0.0,0.0,0.0
22,0.0,0.0,0.0
23,0.0,0.0,0.0
24,0.0,0.0,0.0
25,0.0,0.0,0.0
26,0.0,0.0,0.0
27,0.0,0.0,0.0
28,434.8121464111997,433.1737158314796,539.4191065646995
29,3156.2761622325465,3154.50753572836,3940.923636530217
30,3942.2222725755323,3940.0837975499207,4922.431653155386
31,6426.274461749905,6423.529703613653,8025.9811818467515
32,10700.69481872024,10697.396320468246,13367.622277770311
33,14712.126831216594,14708.84528231701,18381.95466677178
34,20888.49806642987,20885.044721610615,26101.989220989202
35,19237.867883505427,19234.556670273065,24039.05682130087
36,18111.49652840095,18108.309196570972,22631.402330926245
37,13419.87443977683,13416.631708451252,16766.73622140709
38,11963.042807307498,11959.760402050186,14945.597495991093
39,7908.696728176356,7905.214462780766,9877.165246731469
40,6292.741826565097,6289.206920389224,7246.404407194029
41,4612.826244642252,4609.187037718309,5756.934788492957
42,3598.206853993008,3594.4855908628324,4488.455409665823
43,385.6050317969203,1341.0662800584355,0.0
44,0.0,0.0,0.0
45,0.0,0.0,0.0
46,0.0,0.0,0.0
47,0.0,0.0,0.0
48,0.0,0.0,0.0
49,0.0,0.0,0.0
50,0.0,0.0,0.0
51,0.0,0.0,0.0
52,0.0,0.0,0.0
53,0.0,0.0,0.0
54,1943.6292787773186,1941.9330248267518,2425.2959635952307
55,6262.48070644585,6260.539691386996,7823.248345410178
56,5888.450492329293,5886.101057117526,7354.689527382197
57,14323.251896284755,14320.440608971872,17897.03665207374
58,19876.947718667856,19873.78099867455,24838.267848351556
59,23941.08383702483,23937.895530310452,29918.384029495093
60,26647.756745607825,26644.50277792802,33301.56101281028
61,22258.549666357572,22255.30486673651,27815.075083894317
62,20933.51299597926,20930.091955678745,26158.338644222782
63,18264.09892638969,18260.68918466943,22821.599303686467
64,12800.42640124101,12797.019415272034,12537.986219145649
65,9652.596076739319,7005.698341517345,12057.210185320357
66,6328.813692173393,6325.4082292777275,7902.503457977579
67,285.705103647373,2759.1037409681867,3444.5282001178
68,0.0,0.0,0.0
69,0.0,0.0,0.0
70,0.0,0.0,0.0
71,0.0,0.0,0.0
72,0.0,0.0,0.0
73,0.0,0.0,0.0
74,0.0,0.0,0.0
75,0.0,0.0,0.0
76,0.0,0.0,0.0
77,0.0,0.0,0.0
78,0.0,0.0,0.0
79,0.0,0.0,0.0
80,0.0,0.0,0.0
81,0.0,0.0,0.0
82,2361.3565056202674,2357.844768500774,2942.9162892266
83,8355.466852072179,8351.922345213983,10435.472297944734
84,12712.963271033126,12709.485533368954,15882.50974463098
85,13795.27864329612,13791.93549297852,17235.740428326157
86,10744.868846615585,10741.599011140974,13422.911469582958
87,7351.261937268741,7347.9672911404605,9180.840806265223
88,5472.739262583941,5469.35320254854,3938.5241094820744
89,2030.8264435172644,2979.0947363598434,3719.4395981193115
90,0.0,259.2969862037578,638.4295552751998
91,0.0,0.0,0.0
92,0.0,0.0,0.0
93,0.0,0.0,0.0
94,0.0,0.0,0.0
95,0.0,0.0,0.0
96,0.0,0.0,0.0
97,0.0,0.0,0.0
98,0.0,0.0,0.0
99,0.0,0.0,0.0
