Hour,0,1,2
0,0.0,0.0,0.0
1,0.0,0.0,0.0
2,0.0,0.0,0.0
3,0.0,0.0,0.0
4,0.0,0.0,0.0
5,0.0,0.0,0.0
6,0.0,0.0,0.0
7,3508.0609019951003,1130.2833320948553,494.89399653093795
8,20401.1656619951,7646.195168094855,3390.8548125309376
9,34097.5452119951,12929.084423094857,5738.805592530939
10,44450.59351199511,16922.40305309486,7513.613872530939
11,46413.0926519951,17679.367007094857,7850.04229653094
12,39921.272141995105,15175.379096094857,6737.158780530939
13,27058.737911995104,10214.115893094857,4532.152912530938
14,9553.114463614722,2453.5326442954583,1049.2705155449753
15,0.0,0.0,0.0
16,0.0,0.0,0.0
17,0.0,0.0,0.0
18,0.0,0.0,0.0
19,0.0,0.0,0.0
20,0.0,0.0,0.0
21,0.0,0.0,0.0
22,0.0,0.0,0.0
23,0.0,0.0,0.0
24,0.0,0.0,0.0
25,0.0,0.0,0.0
26,0.0,0.0,0.0
27,0.0,0.0,0.0
28,10938.866190187147,4215.107722696504,1873.2417374248273
29,70584.81297018715,27221.401480696506,12098.261185424828
30,88101.00159018714,33977.64566269651,15101.036377424825
31,142970.14095018717,55141.45655869651,24507.17455342483
32,236957.60886018717,91393.76560969651,40619.31190942483
33,324692.8534501872,125234.50280869652,55659.63955342484
34,459951.2956501872,177405.6162286965,78846.80107342482
35,423719.3952601873,163430.45464969653,72635.61814942483
36,398971.6256401872,153884.8863676965,68393.14335742482
37,296390.86701018724,114318.0223246965,50807.87044942484
38,264557.3897401872,102039.3953776965,45350.70291742484
39,176043.4468801872,67898.30313169652,30176.88414142483
40,140740.49409018716,54281.44991269651,24124.949377424833
41,104083.60389018714,40142.363692696505,17840.911057424826
42,81960.60390018715,31609.20655369651,14048.396773424829
43,32754.506270788857,12643.488121696506,5572.741213124907
44,0.0,0.0,0.0
45,0.0,0.0,0.0
46,0.0,0.0,0.0
47,0.0,0.0,0.0
48,0.0,0.0,0.0
49,0.0,0.0,0.0
50,0.0,0.0,0.0
51,0.0,0.0,0.0
52,0.0,0.0,0.0
53,0.0,0.0,0.0
54,43994.836410187156,16965.26766469651,7539.979489424829
55,138683.87736018718,53488.18345969651,23772.386509424832
56,130530.17353199513,50124.526775094855,22270.11330453094
57,315445.5748319951,121449.03870509488,53743.61094143087
58,437243.67454199505,168428.3057360949,75013.56194399999
59,526165.5405119951,202726.7397530949,90093.31907253095
60,585431.4637319952,225586.45299509488,100253.19162453095
61,489409.5368219951,188549.42404409486,83792.28986853095
62,460578.5702519952,177428.9083670949,78849.83845653097
63,402175.25122199516,154901.9138840949,68837.84090853094
64,282655.00345199514,108801.24688709485,48348.65557653094
65,213802.3210919951,82243.78369109485,36545.33860053094
66,141087.14275199512,54047.87339253288,24079.87945653094
67,63332.58341726263,24477.618739696503,10810.984137328396
68,0.0,0.0,0.0
69,0.0,0.0,0.0
70,0.0,0.0,0.0
71,0.0,0.0,0.0
72,0.0,0.0,0.0
73,0.0,0.0,0.0
74,0.0,0.0,0.0
75,0.0,0.0,0.0
76,0.0,0.0,0.0
77,0.0,0.0,0.0
78,0.0,0.0,0.0
79,0.0,0.0,0.0
80,0.0,0.0,0.0
81,0.0,0.0,0.0
82,54392.0067419951,20756.948156094855,9217.85614053094
83,185541.84409199512,71343.31399109485,31700.68540053094
84,280803.6552119951,108087.15542309487,48031.28159253094
85,304361.5400519951,117173.76814709487,52069.776136530934
86,237569.67526199514,91411.19172809485,40619.74217253094
87,163356.23344199514,62786.00702609485,27897.43786053094
88,122343.53710199513,46966.82415209486,20866.68991653094
89,68009.9405819951,26009.57978009486,11552.35908453094
90,13426.809625751608,4841.440178527629,1875.2697045209447
91,0.0,0.0,0.0
92,0.0,0.0,0.0
93,0.0,0.0,0.0
94,0.0,0.0,0.0
95,0.0,0.0,0.0
96,0.0,0.0,0.0
97,0.0,0.0,0.0
98,0.0,0.0,0.0
99,0.0,0.0,0.0
