Hour,0,1,2
0,0.0,0.0,0.0
1,0.0,0.0,0.0
2,0.0,0.0,0.0
3,0.0,0.0,0.0
4,0.0,0.0,0.0
5,0.0,0.0,0.0
6,0.0,0.0,0.0
7,0.0,0.0,0.0
8,2871.6387029822204,4776.53963803785,5728.9901055656655
9,8406.762959902224,10417.668914433187,11423.121891698667
10,12681.189876462224,14721.361640193632,15774.78085539267
11,13462.967831315556,15544.137967232298,16584.72303519067
12,10828.437789266665,12878.028173517409,13891.712254531667
13,5120.014275231111,7216.457274907926,8264.678774746333
14,0.0,297.5228547391109,1339.0729789797783
15,0.0,0.0,0.0
16,0.0,0.0,0.0
17,0.0,0.0,0.0
18,0.0,0.0,0.0
19,0.0,0.0,0.0
20,0.0,0.0,0.0
21,0.0,0.0,0.0
22,0.0,0.0,0.0
23,0.0,0.0,0.0
24,0.0,0.0,0.0
25,0.0,0.0,0.0
26,0.0,0.0,0.0
27,0.0,0.0,0.0
28,0.0,0.0,0.0
29,0.0,0.0,0.0
30,34552.549401268705,35568.325038533614,36076.21285716607
31,57158.47017377073,58462.230289076666,59114.110346729634
32,96608.20339004445,98174.99006036372,98958.38339552334
33,134234.44653008447,135793.18225755772,136572.55012129436
34,191944.65645034224,193584.99523973383,194405.16463442968
35,176629.89652240893,178202.72280747944,178989.1359500147
36,166209.53164467556,167723.5142640283,168480.50557370466
37,122163.25013294224,123703.54751217719,124473.69620179466
38,108460.82040455558,87797.74067939077,110799.53415014168
39,48004.26103566669,71880.55932039076,72707.59735164169
40,55017.68517772889,56696.76561078141,57536.30582730767
41,39151.138252857774,40879.76154211948,41744.07318675033
42,29546.768234862226,31314.36822165585,9975.945992830446
43,8267.755329351112,10100.586250889926,11017.001711659334
44,0.0,0.0,0.0
45,0.0,0.0,0.0
46,0.0,0.0,0.0
47,0.0,0.0,0.0
48,0.0,0.0,0.0
49,0.0,0.0,0.0
50,0.0,0.0,0.0
51,0.0,0.0,0.0
52,0.0,0.0,0.0
53,0.0,0.0,0.0
54,0.0,0.0,0.0
55,0.0,0.0,0.0
56,0.0,0.0,0.0
57,0.0,0.0,0.0
58,0.0,0.0,0.0
59,0.0,0.0,0.0
60,0.0,0.0,0.0
61,0.0,0.0,0.0
62,0.0,0.0,0.0
63,0.0,0.0,0.0
64,0.0,0.0,0.0
65,0.0,0.0,0.0
66,0.0,0.0,0.0
67,0.0,0.0,0.0
68,0.0,0.0,0.0
69,0.0,0.0,0.0
70,0.0,0.0,0.0
71,0.0,0.0,0.0
72,0.0,0.0,0.0
73,0.0,0.0,0.0
74,0.0,0.0,0.0
75,0.0,0.0,0.0
76,0.0,0.0,0.0
77,0.0,0.0,0.0
78,0.0,0.0,0.0
79,0.0,0.0,0.0
80,0.0,0.0,0.0
81,0.0,0.0,0.0
82,0.0,0.0,0.0
83,0.0,0.0,0.0
84,0.0,0.0,0.0
85,0.0,0.0,0.0
86,0.0,0.0,0.0
87,0.0,0.0,0.0
88,0.0,0.0,0.0
89,0.0,0.0,0.0
90,0.0,0.0,0.0
91,0.0,0.0,0.0
92,0.0,0.0,0.0
93,0.0,0.0,0.0
94,0.0,0.0,0.0
95,0.0,0.0,0.0
96,0.0,0.0,0.0
97,0.0,0.0,0.0
98,0.0,0.0,0.0
99,0.0,0.0,0.0
