Hour,Energy Type,0,1,2
0,HEAT,5489.282367984042,3562.1336055821316,2839.1669082041653
1,HEAT,4567.953837840623,2895.154823556572,2295.118243748808
2,HEAT,4468.272187989996,2821.7692595204207,2234.2881824847627
3,HEAT,4379.01286383898,2755.2599986760524,2179.099221772403
4,HEAT,4625.198417116878,2925.3921467566233,2317.591465411044
5,HEAT,5329.1858293011865,3435.414484836193,2754.5581599928882
6,HEAT,0.0,4617.384296798944,3701.428771567993
7,HEAT,3343.562520937981,2475.706375959807,1381.4989090704407
8,HEAT,0.0,0.0,0.0
9,HEAT,0.0,0.0,0.0
10,HEAT,0.0,0.0,0.0
11,HEAT,0.0,0.0,0.0
12,HEAT,0.0,0.0,0.0
13,HEAT,0.0,0.0,0.0
14,HEAT,0.0,0.0,0.0
15,HEAT,8671.805098445468,5651.883395296184,4307.968464757663
16,HEAT,9884.596274033727,6492.292764166674,4961.935938332726
17,HEAT,10626.997037924442,7001.795920187908,5356.145587317064
18,HEAT,11213.860267937001,7447.670190813953,5644.759427811388
19,HEAT,10365.105775523754,7474.588965526213,5663.522978075589
20,HEAT,11379.85485703093,7056.032148527635,5341.200481861684
21,HEAT,9498.075733153673,6282.587740025181,4742.41174962901
22,HEAT,7884.2188443981095,5734.277226667956,3896.297094445511
23,HEAT,5836.738552067672,4221.363678513881,2806.9116201870256
24,HEAT,3895.7608859281436,2796.7500309346447,1874.8465515345156
25,HEAT,3926.4926603970453,2862.056237093429,2279.7253862472
26,HEAT,3337.076007354155,2428.2307868068715,1938.2077320159851
27,HEAT,1626.364949793868,2202.040020144794,1756.2559083153192
28,HEAT,0.0,0.0,0.0
29,HEAT,0.0,0.0,0.0
30,HEAT,0.0,0.0,0.0
31,HEAT,0.0,0.0,0.0
32,HEAT,0.0,0.0,0.0
33,HEAT,0.0,0.0,0.0
34,HEAT,0.0,0.0,0.0
35,HEAT,0.0,0.0,0.0
36,HEAT,0.0,0.0,0.0
37,HEAT,0.0,0.0,0.0
38,HEAT,0.0,0.0,0.0
39,HEAT,0.0,0.0,0.0
40,HEAT,0.0,0.0,0.0
41,HEAT,0.0,0.0,0.0
42,HEAT,0.0,0.0,0.0
43,HEAT,0.0,0.0,0.0
44,HEAT,8093.2251417273455,6696.9313768126585,4288.490266293914
45,HEAT,8885.515484000001,7245.199119319809,4642.695456823101
46,HEAT,8750.658066138327,7179.627705972931,4601.943184688763
47,HEAT,7569.267263653666,6210.529167853002,3982.4677273436464
48,HEAT,6462.624953837117,4661.90509095512,2992.319052754106
49,HEAT,4913.513379513305,3540.6730447840346,2274.5877170422013
50,HEAT,4465.556426578824,3224.255279689419,2066.3105145859004
51,HEAT,3806.292829298467,2745.908197768362,1761.1925928374765
52,HEAT,3107.371739875021,2596.347581735713,1665.8440322208398
53,HEAT,3571.6340129884316,2576.217035582951,1652.4738381006084
54,HEAT,0.0,0.0,0.0
55,HEAT,0.0,0.0,0.0
56,HEAT,0.0,0.0,0.0
57,HEAT,0.0,0.0,0.0
58,HEAT,0.0,0.0,0.0
59,HEAT,0.0,0.0,0.0
60,HEAT,0.0,0.0,0.0
61,HEAT,0.0,0.0,0.0
62,HEAT,0.0,0.0,0.0
63,HEAT,0.0,0.0,0.0
64,HEAT,0.0,0.0,0.0
65,HEAT,0.0,0.0,0.0
66,HEAT,0.0,0.0,0.0
67,HEAT,0.0,0.0,0.0
68,HEAT,7352.657101575036,5010.331422855319,3866.7000894208836
69,HEAT,8046.253687203889,5480.147243141446,4232.7797838108645
70,HEAT,8992.999845396535,6125.947876172074,4730.357097920765
71,HEAT,8339.648759667316,5679.785935300015,4387.209668308017
72,HEAT,6716.552734565647,4570.0718125325075,3535.3648041105002
73,HEAT,5099.479423154979,3465.08008117325,2686.397394640674
74,HEAT,3846.047291905363,2609.182446136366,2028.0575631572028
75,HEAT,3867.807349493507,2515.891389427659,1931.4238257081745
76,HEAT,3362.915433744888,2169.0228709616617,1662.7084863240264
77,HEAT,3180.503772189384,2041.972545323532,1562.3512026897836
78,HEAT,3156.459476499476,2023.3860469236695,1545.187854728907
79,HEAT,2979.3198929136793,2292.8935829893467,1751.6784594245867
80,HEAT,4865.029300113567,2859.879805345342,2187.0745839068645
81,HEAT,920.3766096102336,3856.6888726642783,2961.991145055233
82,HEAT,0.0,0.0,0.0
83,HEAT,0.0,0.0,0.0
84,HEAT,0.0,0.0,0.0
85,HEAT,0.0,0.0,0.0
86,HEAT,0.0,0.0,0.0
87,HEAT,0.0,0.0,0.0
