Hour,0,1,2
0,379.3800017537255,369.89550170988235,450.513752082549
1,381.9123821038433,372.36457255124714,453.5209537483138
2,383.9754008776785,374.37601585573657,455.9707885422432
3,386.54036067714515,376.8768516602166,459.01667830410986
4,385.8073510934589,376.1621673161224,458.1462294234824
5,383.53526978773345,373.94688804304,455.4481328729334
6,353.13857186484705,344.3101075682258,419.3520540895058
7,349.24030192552163,340.5092943773835,414.72285853655694
8,345.59601628975696,336.95611588251296,410.39526934408633
9,345.39733535899614,336.7624019750212,410.1593357388079
10,368.4356633119374,359.22477172913887,437.5173501829255
11,365.43660046368643,356.30068545209417,433.9559630506275
12,361.5644992069019,352.5253867267295,429.3578428081961
13,360.8274229925647,351.80673741775064,428.4825648036706
14,361.7594006662275,352.71541564957175,429.5892882911451
15,362.57775734362355,353.51331341003294,430.561086845553
16,340.496523366651,331.9841102824848,404.33962149789807
17,335.17237219275296,326.7930628879341,398.0171919788941
18,333.6810931433413,325.33906581475765,396.2462981077177
19,333.47380088909813,325.13695586687055,396.00013855580386
20,333.90039323733345,325.5528834064,396.5067169693334
21,334.4011380736,326.04110962176,397.1013514624
22,332.9219626601412,324.59891359363763,395.3448306589177
23,351.4997052772393,342.7122126453082,417.4059000167216
24,351.03632372906674,342.26041563584,416.8556344282667
25,10.089268886672917,9.837037164506093,11.981006802924089
26,12.323355250911662,12.01527136963887,14.633984360457598
27,15.86263605872502,15.466070157256894,18.83688031973596
28,20.01579929791862,19.515404315470654,23.76876166627836
29,13.458520351434919,13.122057342649047,15.981992917328965
30,7.118699661257137,6.940732169725709,8.453455847742848
31,0.0,0.0,0.0
32,0.0,0.0,0.0
33,0.0,0.0,0.0
34,0.0,0.0,0.0
35,0.0,0.0,0.0
36,0.0,0.0,0.0
37,0.0,0.0,0.0
38,0.0,0.0,0.0
39,0.0,0.0,0.0
40,0.0,0.0,0.0
41,0.0,0.0,0.0
42,0.0,0.0,0.0
43,0.0,0.0,0.0
44,0.0,0.0,0.0
45,0.0,0.0,0.0
46,0.0,0.0,0.0
47,0.0,0.0,0.0
48,0.0,0.0,0.0
49,0.0,0.0,0.0
50,0.0,0.0,0.0
51,0.0,0.0,0.0
52,0.0,0.0,0.0
53,0.0,0.0,0.0
54,0.0,0.0,0.0
55,0.0,0.0,0.0
56,0.0,0.0,0.0
57,0.0,0.0,0.0
58,0.0,0.0,0.0
59,0.0,0.0,0.0
60,0.0,0.0,0.0
61,0.0,0.0,0.0
62,0.0,0.0,0.0
63,0.0,0.0,0.0
64,0.0,0.0,0.0
65,0.0,0.0,0.0
66,0.0,0.0,0.0
67,0.0,0.0,0.0
68,0.0,0.0,0.0
69,0.0,0.0,0.0
70,0.0,0.0,0.0
71,0.0,0.0,0.0
72,0.0,0.0,0.0
73,0.0,0.0,0.0
74,0.0,0.0,0.0
75,154.28212304012553,150.42506996412237,183.210021110149
76,158.67324411432156,154.70641301146352,188.42447738575686
77,164.2293252542745,160.12359212291767,195.022323739451
78,169.6236582197961,165.3830667643012,201.42809413600784
79,171.9278402463373,167.62964424017886,204.16431029252553
80,173.49982590042356,169.16233025291297,206.03104325675298
81,150.53995614318433,146.77645723960472,178.7661979200314
82,140.93524290371766,137.41186183112472,167.36060094816472
83,129.5274273242353,126.28924164112941,153.81381994752942
84,121.82934290988665,118.78360933713947,144.67234470549036
85,138.4292703361255,134.96853857772237,164.38475852414905
86,135.25764729562354,131.87620611323297,160.61845616355296
87,131.23126096552159,127.95047944138355,155.83712239655688
88,133.2280209756863,129.89732045129412,158.20827490862746
89,138.82290062443923,135.35232810882823,164.8521944915216
90,144.07089000144316,140.46911775140708,171.08418187671376
91,130.0489348572863,126.79771148585412,154.43311014302745
92,129.8712079858196,126.62442778617412,154.22205948316082
93,133.36068222017258,130.02666516466823,158.3658101364549
94,134.6940881103059,131.32673590754825,159.94922963098827
95,136.31420114936472,132.9063461206306,161.87311386487062
96,137.99153123463532,134.54174295376944,163.86494334112942
97,137.58354883262746,134.1439601118118,163.38046423874513
98,154.49233347287847,150.63002513605647,183.45964599904315
99,154.90572183780398,151.03307879185888,183.95054468239218
