Hour,0,1,2
0,0.0,0.0,0.0
1,0.0,0.0,0.0
2,0.0,0.0,0.0
3,0.0,0.0,0.0
4,0.0,0.0,0.0
5,0.0,0.0,0.0
6,0.0,0.0,0.0
7,549.0711,0.0,0.0
8,2962.37178,0.0,0.0
9,4918.99743,0.0,0.0
10,6398.004330000002,0.0,0.0
11,6678.36135,0.0,0.0
12,5750.958420000001,0.0,0.0
13,3913.4535300000002,0.0,0.0
14,1629.51345,0.0,0.0
15,0.0,0.0,0.0
16,0.0,0.0,0.0
17,0.0,0.0,0.0
18,0.0,0.0,0.0
19,0.0,0.0,0.0
20,0.0,0.0,0.0
21,0.0,0.0,0.0
22,0.0,0.0,0.0
23,0.0,0.0,0.0
24,0.0,0.0,0.0
25,0.0,0.0,0.0
26,0.0,0.0,0.0
27,0.0,0.0,0.0
28,1563.59178,0.0,0.0
29,10084.44132,0.0,0.0
30,12586.753979999998,0.0,0.0
31,20425.20246,0.0,0.0
32,33851.98359,0.0,0.0
33,46385.589960000005,0.0,0.0
34,65708.22455999999,0.0,0.0
35,60532.23879,0.0,0.0
36,56996.843129999994,0.0,0.0
37,42342.44904,0.0,0.0
38,37794.80943,0.0,0.0
39,25149.960450000002,0.0,0.0
40,20106.68148,0.0,0.0
41,14869.98288,0.0,0.0
42,11709.554310000001,0.0,0.0
43,4685.21415,0.0,0.0
44,0.0,0.0,0.0
45,0.0,0.0,0.0
46,0.0,0.0,0.0
47,0.0,0.0,0.0
48,0.0,0.0,0.0
49,0.0,0.0,0.0
50,0.0,0.0,0.0
51,0.0,0.0,0.0
52,0.0,0.0,0.0
53,0.0,0.0,0.0
54,6285.873240000001,0.0,0.0
55,19812.879090000002,0.0,0.0
56,18695.087190000002,0.0,0.0
57,45111.573090000005,0.0,0.0
58,62511.30161999999,0.0,0.0
59,75214.42533,0.0,0.0
60,83680.98579,0.0,0.0
61,69963.56766,0.0,0.0
62,65844.85815000001,0.0,0.0
63,57501.52686,0.0,0.0
64,40427.20575,0.0,0.0
65,30591.10827,0.0,0.0
66,20203.22565,0.0,0.0
67,9068.225489999999,0.0,0.0
68,0.0,0.0,0.0
69,0.0,0.0,0.0
70,0.0,0.0,0.0
71,0.0,0.0,0.0
72,0.0,0.0,0.0
73,0.0,0.0,0.0
74,0.0,0.0,0.0
75,0.0,0.0,0.0
76,0.0,0.0,0.0
77,0.0,0.0,0.0
78,0.0,0.0,0.0
79,0.0,0.0,0.0
80,0.0,0.0,0.0
81,0.0,0.0,0.0
82,7818.20622,0.0,0.0
83,26553.897269999998,0.0,0.0
84,40162.72743,0.0,0.0
85,43528.13955,0.0,0.0
86,33986.44458,0.0,0.0
87,23384.52432,0.0,0.0
88,17525.567700000003,0.0,0.0
89,9763.62534,0.0,0.0
90,2103.57342,0.0,0.0
91,0.0,0.0,0.0
92,0.0,0.0,0.0
93,0.0,0.0,0.0
94,0.0,0.0,0.0
95,0.0,0.0,0.0
96,0.0,0.0,0.0
97,0.0,0.0,0.0
98,0.0,0.0,0.0
99,0.0,0.0,0.0
