Hour,0,1,2
0,0.0,0.0,0.0
1,0.0,0.0,0.0
2,0.0,0.0,0.0
3,0.0,0.0,0.0
4,0.0,0.0,0.0
5,0.0,0.0,0.0
6,0.0,0.0,0.0
7,329.44266000000005,329.44266000000005,329.44266000000005
8,1777.4230679999998,1777.4230679999998,1777.4230679999998
9,2951.398458,2951.398458,2951.398458
10,3838.8025980000007,3838.8025980000007,3838.8025980000007
11,4007.0168100000005,4007.0168100000005,4007.0168100000005
12,3450.575052,3450.575052,3450.575052
13,2348.072118,2348.072118,2348.072118
14,977.7080699999999,977.7080699999999,977.7080699999999
15,0.0,0.0,0.0
16,0.0,0.0,0.0
17,0.0,0.0,0.0
18,0.0,0.0,0.0
19,0.0,0.0,0.0
20,0.0,0.0,0.0
21,0.0,0.0,0.0
22,0.0,0.0,0.0
23,0.0,0.0,0.0
24,0.0,0.0,0.0
25,0.0,0.0,0.0
26,0.0,0.0,0.0
27,0.0,0.0,0.0
28,938.1550679999999,938.1550679999999,938.1550679999999
29,6050.664792,6050.664792,6050.664792
30,7552.052387999999,7552.052387999999,7552.052387999999
31,12255.121476,12255.121476,12255.121476
32,20311.190154,20311.190154,20311.190154
33,27831.353976000002,27831.353976000002,27831.353976000002
34,39424.934735999996,39424.934735999996,39424.934735999996
35,36319.343274,36319.343274,36319.343274
36,34198.105877999995,34198.105877999995,34198.105877999995
37,25405.469424000003,25405.469424000003,25405.469424000003
38,22676.885658000003,22676.885658000003,22676.885658000003
39,15089.976270000001,15089.976270000001,15089.976270000001
40,12064.008888,12064.008888,12064.008888
41,8921.989727999999,8921.989727999999,8921.989727999999
42,7025.732586,7025.732586,7025.732586
43,2811.12849,2811.12849,2811.12849
44,0.0,0.0,0.0
45,0.0,0.0,0.0
46,0.0,0.0,0.0
47,0.0,0.0,0.0
48,0.0,0.0,0.0
49,0.0,0.0,0.0
50,0.0,0.0,0.0
51,0.0,0.0,0.0
52,0.0,0.0,0.0
53,0.0,0.0,0.0
54,3771.5239440000005,3771.5239440000005,3771.5239440000005
55,11887.727454000002,11887.727454000002,11887.727454000002
56,11217.052314,11217.052314,11217.052314
57,27066.943854000005,27066.943854000005,27066.943854000005
58,37506.78097199999,37506.78097199999,37506.78097199999
59,45128.655198,45128.655198,45128.655198
60,50208.591474,50208.591474,50208.591474
61,41978.140596000005,41978.140596000005,41978.140596000005
62,39506.91489000001,39506.91489000001,39506.91489000001
63,34500.916116,34500.916116,34500.916116
64,24256.32345,24256.32345,24256.32345
65,18354.664962,18354.664962,18354.664962
66,12121.93539,12121.93539,12121.93539
67,5440.935294,5440.935294,5440.935294
68,0.0,0.0,0.0
69,0.0,0.0,0.0
70,0.0,0.0,0.0
71,0.0,0.0,0.0
72,0.0,0.0,0.0
73,0.0,0.0,0.0
74,0.0,0.0,0.0
75,0.0,0.0,0.0
76,0.0,0.0,0.0
77,0.0,0.0,0.0
78,0.0,0.0,0.0
79,0.0,0.0,0.0
80,0.0,0.0,0.0
81,0.0,0.0,0.0
82,4690.923732,4690.923732,4690.923732
83,15932.338361999999,15932.338361999999,15932.338361999999
84,24097.636458,24097.636458,24097.636458
85,26116.88373,26116.88373,26116.88373
86,20391.866748,20391.866748,20391.866748
87,14030.714592,14030.714592,14030.714592
88,10515.34062,10515.34062,10515.34062
89,5858.175204000001,5858.175204000001,5858.175204000001
90,1262.1440519999999,1262.1440519999999,1262.1440519999999
91,0.0,0.0,0.0
92,0.0,0.0,0.0
93,0.0,0.0,0.0
94,0.0,0.0,0.0
95,0.0,0.0,0.0
96,0.0,0.0,0.0
97,0.0,0.0,0.0
98,0.0,0.0,0.0
99,0.0,0.0,0.0
