Hour,0,1,2
0,0.0,0.0,0.0
1,0.0,0.0,0.0
2,0.0,0.0,0.0
3,0.0,0.0,0.0
4,0.0,0.0,0.0
5,0.0,0.0,0.0
6,0.0,0.0,0.0
7,549.0711,219.62844,0.0
8,2962.37178,1184.948712,0.0
9,4918.99743,1967.598972,0.0
10,6398.004330000002,2559.2017320000004,0.0
11,6678.36135,2671.34454,0.0
12,5750.958420000001,2300.3833680000002,0.0
13,3913.4535300000002,1565.3814120000002,0.0
14,1629.51345,651.80538,0.0
15,0.0,0.0,0.0
16,0.0,0.0,0.0
17,0.0,0.0,0.0
18,0.0,0.0,0.0
19,0.0,0.0,0.0
20,0.0,0.0,0.0
21,0.0,0.0,0.0
22,0.0,0.0,0.0
23,0.0,0.0,0.0
24,0.0,0.0,0.0
25,0.0,0.0,0.0
26,0.0,0.0,0.0
27,0.0,0.0,0.0
28,1563.59178,625.4367119999999,0.0
29,10084.44132,4033.776528,0.0
30,12586.753979999998,5034.701591999999,0.0
31,20425.20246,8170.080984,0.0
32,33851.98359,13540.793436,0.0
33,46385.589960000005,18554.235984000003,0.0
34,65708.22455999999,26283.289824,0.0
35,60532.23879,24212.895516,0.0
36,56996.843129999994,22798.737252,0.0
37,42342.44904,16936.979616,0.0
38,37794.80943,15117.923772000002,0.0
39,25149.960450000002,10059.984180000001,0.0
40,20106.68148,8042.672592,0.0
41,14869.98288,5947.993152,0.0
42,11709.554310000001,4683.821724,0.0
43,4685.21415,1874.08566,0.0
44,0.0,0.0,0.0
45,0.0,0.0,0.0
46,0.0,0.0,0.0
47,0.0,0.0,0.0
48,0.0,0.0,0.0
49,0.0,0.0,0.0
50,0.0,0.0,0.0
51,0.0,0.0,0.0
52,0.0,0.0,0.0
53,0.0,0.0,0.0
54,6285.873240000001,2514.3492960000003,0.0
55,19812.879090000002,7925.1516360000005,0.0
56,18695.087190000002,7478.034876000001,0.0
57,45111.573090000005,18044.629236000004,0.0
58,62511.30161999999,25004.520647999998,0.0
59,75214.42533,30085.770132,0.0
60,83680.98579,33472.394316000005,0.0
61,69963.56766,27985.427064000003,0.0
62,65844.85815000001,26337.943260000004,0.0
63,57501.52686,23000.610743999998,0.0
64,40427.20575,16170.8823,0.0
65,30591.10827,12236.443308,0.0
66,20203.22565,8081.290260000001,0.0
67,9068.225489999999,3627.290196,0.0
68,0.0,0.0,0.0
69,0.0,0.0,0.0
70,0.0,0.0,0.0
71,0.0,0.0,0.0
72,0.0,0.0,0.0
73,0.0,0.0,0.0
74,0.0,0.0,0.0
75,0.0,0.0,0.0
76,0.0,0.0,0.0
77,0.0,0.0,0.0
78,0.0,0.0,0.0
79,0.0,0.0,0.0
80,0.0,0.0,0.0
81,0.0,0.0,0.0
82,7818.20622,3127.282488,0.0
83,26553.897269999998,10621.558907999999,0.0
84,40162.72743,16065.090972,0.0
85,43528.13955,17411.25582,0.0
86,33986.44458,13594.577832,0.0
87,23384.52432,9353.809728,0.0
88,17525.567700000003,7010.2270800000015,0.0
89,9763.62534,3905.4501360000004,0.0
90,2103.57342,841.429368,0.0
91,0.0,0.0,0.0
92,0.0,0.0,0.0
93,0.0,0.0,0.0
94,0.0,0.0,0.0
95,0.0,0.0,0.0
96,0.0,0.0,0.0
97,0.0,0.0,0.0
98,0.0,0.0,0.0
99,0.0,0.0,0.0
