Hour,0,1,2
0,0.0,0.0,0.0
1,0.0,0.0,0.0
2,0.0,0.0,0.0
3,0.0,0.0,0.0
4,0.0,0.0,0.0
5,0.0,0.0,0.0
6,0.0,0.0,0.0
7,3843.4977000000003,1482.49197,658.8853200000001
8,20736.60246,7998.403805999999,3554.8461359999997
9,34432.98201,13281.293061,5902.796916
10,44786.03031000001,17274.611691000002,7677.605196000001
11,46748.52945,18031.575645,8014.033620000001
12,40256.708940000004,15527.587734,6901.150104
13,27394.174710000003,10566.324531,4696.144236
14,11406.594149999999,4399.686315,1955.4161399999998
15,0.0,0.0,0.0
16,0.0,0.0,0.0
17,0.0,0.0,0.0
18,0.0,0.0,0.0
19,0.0,0.0,0.0
20,0.0,0.0,0.0
21,0.0,0.0,0.0
22,0.0,0.0,0.0
23,0.0,0.0,0.0
24,0.0,0.0,0.0
25,0.0,0.0,0.0
26,0.0,0.0,0.0
27,0.0,0.0,0.0
28,10945.14246,4221.697806,1876.3101359999998
29,70591.08924,27227.991564,12101.329584
30,88107.27785999999,33984.235746,15104.104775999998
31,142976.41722,55148.046642,24510.242952
32,236963.88513,91400.355693,40622.380308
33,324699.12972,125241.09289200002,55662.707952000004
34,459957.57191999996,177412.206312,78849.86947199999
35,423725.67153000005,163437.04473300002,72638.686548
36,398977.90190999996,153891.476451,68396.21175599999
37,296397.14328,114324.612408,50810.938848000005
38,264563.66601000004,102045.985461,45353.771316000006
39,176049.72315000003,67904.893215,30179.952540000002
40,140746.77036,54288.039996,24128.017776
41,104089.88015999999,40148.953775999995,17843.979455999997
42,81966.88017,31615.796637,14051.465172
43,32796.49905,12650.078205,5622.25698
44,0.0,0.0,0.0
45,0.0,0.0,0.0
46,0.0,0.0,0.0
47,0.0,0.0,0.0
48,0.0,0.0,0.0
49,0.0,0.0,0.0
50,0.0,0.0,0.0
51,0.0,0.0,0.0
52,0.0,0.0,0.0
53,0.0,0.0,0.0
54,44001.112680000006,16971.857748000002,7543.047888000001
55,138690.15363000002,53494.773543,23775.454908000003
56,130865.61033000001,50476.735413,22434.104628
57,315781.01163,121801.24734300002,54133.88770800001
58,437579.11133999994,168780.514374,75013.56194399999
59,526500.97731,203078.948391,90257.310396
60,585766.9005300001,225938.661633,100417.182948
61,489744.97362,188901.632682,83956.28119200001
62,460914.0070500001,177781.117005,79013.82978000001
63,402510.68802,155254.122522,69001.832232
64,282990.44025,109153.455525,48512.6469
65,214137.75789,82595.992329,36709.329924
66,141422.57955,54548.709255,24243.87078
67,63477.578429999994,24484.208822999997,10881.870588
68,0.0,0.0,0.0
69,0.0,0.0,0.0
70,0.0,0.0,0.0
71,0.0,0.0,0.0
72,0.0,0.0,0.0
73,0.0,0.0,0.0
74,0.0,0.0,0.0
75,0.0,0.0,0.0
76,0.0,0.0,0.0
77,0.0,0.0,0.0
78,0.0,0.0,0.0
79,0.0,0.0,0.0
80,0.0,0.0,0.0
81,0.0,0.0,0.0
82,54727.44354,21109.156794,9381.847464
83,185877.28089,71695.522629,31864.676723999997
84,281139.09201,108439.364061,48195.272916
85,304696.97685,117525.976785,52233.76746
86,237905.11206,91763.400366,40783.733496
87,163691.67024,63138.215663999996,28061.429184
88,122678.97390000001,47319.032790000005,21030.68124
89,68345.37738,26361.788418000004,11716.350408000002
90,14725.013939999999,5679.648234,2524.2881039999997
91,0.0,0.0,0.0
92,0.0,0.0,0.0
93,0.0,0.0,0.0
94,0.0,0.0,0.0
95,0.0,0.0,0.0
96,0.0,0.0,0.0
97,0.0,0.0,0.0
98,0.0,0.0,0.0
99,0.0,0.0,0.0
