Hour,0,1,2
0,0.0,0.0,0.0
1,0.0,0.0,0.0
2,0.0,0.0,0.0
3,0.0,0.0,0.0
4,0.0,0.0,0.0
5,0.0,0.0,0.0
6,0.0,0.0,0.0
7,274.53555,76.86995399999999,461.21972400000004
8,1481.18589,414.73204919999984,2488.3922952
9,2459.498715,688.6596401999998,4131.9578412
10,3199.002165000001,895.7206061999999,5374.323637200001
11,3339.180675,934.9705889999998,5609.823534
12,2875.4792100000004,805.1341787999999,4830.805072800001
13,1956.7267650000001,547.8834941999999,3287.3009652
14,814.756725,228.13188299999993,1368.7912979999999
15,0.0,0.0,0.0
16,0.0,0.0,0.0
17,0.0,0.0,0.0
18,0.0,0.0,0.0
19,0.0,0.0,0.0
20,0.0,0.0,0.0
21,0.0,0.0,0.0
22,0.0,0.0,0.0
23,0.0,0.0,0.0
24,0.0,0.0,0.0
25,0.0,0.0,0.0
26,0.0,0.0,0.0
27,0.0,0.0,0.0
28,781.79589,218.90284919999993,1313.4170952
29,5042.22066,1411.8217847999995,8470.9307088
30,6293.376989999999,1762.1455571999993,10572.873343199999
31,10212.60123,2859.5283443999992,17157.170066399998
32,16925.991795,4739.2777025999985,28435.666215600002
33,23192.794980000002,6493.9825943999995,38963.8955664
34,32854.112279999994,9199.151438399997,55194.908630399994
35,30266.119395,8474.513430599998,50847.0805836
36,28498.421564999997,7979.558038199997,47877.3482292
37,21171.22452,5927.942865599999,35567.657193600004
38,18897.404715,5291.273320199999,31747.639921200003
39,12574.980225000001,3520.9944629999995,21125.966778
40,10053.34074,2814.935407199999,16889.6124432
41,7434.99144,2081.7976031999992,12490.7856192
42,5854.777155000001,1639.3376033999996,9836.0256204
43,2342.607075,655.9299809999998,3935.579886
44,0.0,0.0,0.0
45,0.0,0.0,0.0
46,0.0,0.0,0.0
47,0.0,0.0,0.0
48,0.0,0.0,0.0
49,0.0,0.0,0.0
50,0.0,0.0,0.0
51,0.0,0.0,0.0
52,0.0,0.0,0.0
53,0.0,0.0,0.0
54,3142.9366200000004,880.0222535999999,5280.133521600001
55,9906.439545000001,2773.8030725999997,16642.818435600002
56,9347.543595000001,2617.3122065999996,15703.873239600001
57,22555.786545000003,6315.620232599999,37893.721395600005
58,31255.650809999996,8751.582226799997,52509.49336079999
59,37607.212665,10530.019546199997,63180.1172772
60,41840.492895,11715.338010599999,70292.02806360001
61,34981.78383,9794.899472399999,58769.3968344
62,32922.42907500001,9218.280141,55309.680846
63,28750.76343,8050.213760399997,48301.282562399996
64,20213.602875,5659.808804999999,33958.85283
65,15295.554135,4282.755157799999,25696.5309468
66,10101.612825,2828.4515909999996,16970.709546000002
67,4534.112744999999,1269.5515685999997,7617.309411599999
68,0.0,0.0,0.0
69,0.0,0.0,0.0
70,0.0,0.0,0.0
71,0.0,0.0,0.0
72,0.0,0.0,0.0
73,0.0,0.0,0.0
74,0.0,0.0,0.0
75,0.0,0.0,0.0
76,0.0,0.0,0.0
77,0.0,0.0,0.0
78,0.0,0.0,0.0
79,0.0,0.0,0.0
80,0.0,0.0,0.0
81,0.0,0.0,0.0
82,3909.10311,1094.5488707999998,6567.2932248
83,13276.948634999999,3717.545617799999,22305.2737068
84,20081.363715,5622.781840199998,33736.6910412
85,21764.069775,6093.939536999998,36563.637222
86,16993.22229,4758.102241199999,28548.6134472
87,11692.26216,3273.8334047999992,19643.0004288
88,8762.783850000002,2453.5794779999997,14721.476868000002
89,4881.81267,1366.9075475999998,8201.4452856
90,1051.78671,294.50027879999993,1767.0016728
91,0.0,0.0,0.0
92,0.0,0.0,0.0
93,0.0,0.0,0.0
94,0.0,0.0,0.0
95,0.0,0.0,0.0
96,0.0,0.0,0.0
97,0.0,0.0,0.0
98,0.0,0.0,0.0
99,0.0,0.0,0.0
