Hour,0,1,2
0,0.0,0.0,0.0
1,0.0,0.0,0.0
2,0.0,0.0,0.0
3,0.0,0.0,0.0
4,0.0,0.0,0.0
5,0.0,0.0,0.0
6,0.0,0.0,0.0
7,1647.2133000000001,1647.2133000000001,1647.2133000000001
8,8887.115339999998,8887.115339999998,8887.115339999998
9,14756.99229,14756.99229,14756.99229
10,19194.012990000003,19194.012990000003,19194.012990000003
11,20035.08405,20035.08405,20035.08405
12,17252.87526,17252.87526,17252.87526
13,11740.36059,11740.36059,11740.36059
14,4888.540349999999,4888.540349999999,4888.540349999999
15,0.0,0.0,0.0
16,0.0,0.0,0.0
17,0.0,0.0,0.0
18,0.0,0.0,0.0
19,0.0,0.0,0.0
20,0.0,0.0,0.0
21,0.0,0.0,0.0
22,0.0,0.0,0.0
23,0.0,0.0,0.0
24,0.0,0.0,0.0
25,0.0,0.0,0.0
26,0.0,0.0,0.0
27,0.0,0.0,0.0
28,4690.77534,4690.77534,4690.77534
29,30253.323959999998,30253.323959999998,30253.323959999998
30,37760.26194,37760.26194,37760.26194
31,61275.60738,61275.60738,61275.60738
32,101555.95077,101555.95077,101555.95077
33,139156.76988,139156.76988,139156.76988
34,197124.67367999998,197124.67367999998,197124.67367999998
35,181596.71637,181596.71637,181596.71637
36,170990.52938999998,170990.52938999998,170990.52938999998
37,127027.34712,127027.34712,127027.34712
38,113384.42829000001,113384.42829000001,113384.42829000001
39,75449.88135000001,75449.88135000001,75449.88135000001
40,60320.04444,60320.04444,60320.04444
41,44609.948639999995,44609.948639999995,44609.948639999995
42,35128.66293,35128.66293,35128.66293
43,14055.64245,14055.64245,14055.64245
44,0.0,0.0,0.0
45,0.0,0.0,0.0
46,0.0,0.0,0.0
47,0.0,0.0,0.0
48,0.0,0.0,0.0
49,0.0,0.0,0.0
50,0.0,0.0,0.0
51,0.0,0.0,0.0
52,0.0,0.0,0.0
53,0.0,0.0,0.0
54,18857.619720000002,18857.619720000002,18857.619720000002
55,59438.63727000001,59438.63727000001,59438.63727000001
56,56085.26157,56085.26157,56085.26157
57,135334.71927000003,135334.71927000003,135334.71927000003
58,187533.90485999998,187533.90485999998,187533.90485999998
59,225643.27599,225643.27599,225643.27599
60,251042.95737000002,251042.95737000002,251042.95737000002
61,209890.70298,209890.70298,209890.70298
62,197534.57445000001,197534.57445000001,197534.57445000001
63,172504.58057999998,172504.58057999998,172504.58057999998
64,121281.61725,121281.61725,121281.61725
65,91773.32481,91773.32481,91773.32481
66,60609.67695,60609.67695,60609.67695
67,27204.67647,27204.67647,27204.67647
68,0.0,0.0,0.0
69,0.0,0.0,0.0
70,0.0,0.0,0.0
71,0.0,0.0,0.0
72,0.0,0.0,0.0
73,0.0,0.0,0.0
74,0.0,0.0,0.0
75,0.0,0.0,0.0
76,0.0,0.0,0.0
77,0.0,0.0,0.0
78,0.0,0.0,0.0
79,0.0,0.0,0.0
80,0.0,0.0,0.0
81,0.0,0.0,0.0
82,23454.61866,23454.61866,23454.61866
83,79661.69180999999,79661.69180999999,79661.69180999999
84,120488.18229,120488.18229,120488.18229
85,130584.41865,130584.41865,130584.41865
86,101959.33374,101959.33374,101959.33374
87,70153.57296,70153.57296,70153.57296
88,52576.703100000006,52576.703100000006,52576.703100000006
89,29290.876020000003,29290.876020000003,29290.876020000003
90,6310.72026,6310.72026,6310.72026
91,0.0,0.0,0.0
92,0.0,0.0,0.0
93,0.0,0.0,0.0
94,0.0,0.0,0.0
95,0.0,0.0,0.0
96,0.0,0.0,0.0
97,0.0,0.0,0.0
98,0.0,0.0,0.0
99,0.0,0.0,0.0
