Hour,Energy Type,0,1,2
0,HEAT,322.47300149066666,314.4111764534,382.93668927016665
1,HEAT,324.6255247882668,316.50988666856006,385.4928106860667
2,HEAT,326.37909074602675,318.2196134773761,387.5751702609067
3,HEAT,328.5593065755734,320.3453239111841,390.16417655849335
4,HEAT,327.93624842944007,319.73784221870403,389.42429500996
5,HEAT,326.0049793195734,317.854854836584,387.13091294199336
6,HEAT,300.16778608512,292.66359143299195,356.44924597607996
7,HEAT,296.8542566366934,289.432900220776,352.5144297560734
8,HEAT,293.7566138462934,286.412698500136,348.8359789424734
9,HEAT,293.5877350551467,286.248041678768,348.6354353779867
10,HEAT,313.17031381514676,305.34105596976804,371.88974765548664
11,HEAT,310.62111039413344,302.85558263428004,368.86256859303336
12,HEAT,307.32982432586664,299.64657871772005,364.9541663869667
13,HEAT,306.70330954368,299.035726805088,364.21018008312
14,HEAT,307.49549056629337,299.808103302136,365.15089504747334
15,HEAT,308.19109374208,300.486316398528,365.97692381872
16,HEAT,289.4220448616533,282.18649374011204,343.6886782732133
17,HEAT,284.89651636384,277.774103454744,338.31461318206
18,HEAT,283.62892917184007,276.538205942544,336.80935339156
19,HEAT,283.4527307557334,276.36641248684,336.6001177724333
20,HEAT,283.8153342517334,276.71995089544,337.0307094239334
21,HEAT,284.24096736256,277.134943178496,337.53614874304
22,HEAT,282.98366826112004,275.909076554592,336.04310606008005
23,HEAT,298.7747494856534,291.305380748512,354.79501501421333
24,HEAT,298.3808751697067,290.92135329046397,354.32728926402666
25,HEAT,8.575878553671979,8.361481589830179,10.183855782485475
26,HEAT,10.474851963274913,10.21298066419304,12.438886706388958
27,HEAT,13.483240649916267,13.14615963366836,16.011348271775567
28,HEAT,17.013429403230827,16.588093668150055,20.203447416336605
29,HEAT,11.43974229871968,11.15374874125169,13.58469397972962
30,HEAT,6.050894712068566,5.899622344266852,7.185437470581421
31,HEAT,0.0,0.0,0.0
32,HEAT,0.0,0.0,0.0
33,HEAT,0.0,0.0,0.0
34,HEAT,0.0,0.0,0.0
35,HEAT,0.0,0.0,0.0
36,HEAT,0.0,0.0,0.0
37,HEAT,0.0,0.0,0.0
38,HEAT,0.0,0.0,0.0
39,HEAT,0.0,0.0,0.0
40,HEAT,0.0,0.0,0.0
41,HEAT,0.0,0.0,0.0
42,HEAT,0.0,0.0,0.0
43,HEAT,0.0,0.0,0.0
44,HEAT,0.0,0.0,0.0
45,HEAT,0.0,0.0,0.0
46,HEAT,0.0,0.0,0.0
47,HEAT,0.0,0.0,0.0
48,HEAT,0.0,0.0,0.0
49,HEAT,0.0,0.0,0.0
50,HEAT,0.0,0.0,0.0
51,HEAT,0.0,0.0,0.0
52,HEAT,0.0,0.0,0.0
53,HEAT,0.0,0.0,0.0
54,HEAT,0.0,0.0,0.0
55,HEAT,0.0,0.0,0.0
56,HEAT,0.0,0.0,0.0
57,HEAT,0.0,0.0,0.0
58,HEAT,0.0,0.0,0.0
59,HEAT,0.0,0.0,0.0
60,HEAT,0.0,0.0,0.0
61,HEAT,0.0,0.0,0.0
62,HEAT,0.0,0.0,0.0
63,HEAT,0.0,0.0,0.0
64,HEAT,0.0,0.0,0.0
65,HEAT,0.0,0.0,0.0
66,HEAT,0.0,0.0,0.0
67,HEAT,0.0,0.0,0.0
68,HEAT,0.0,0.0,0.0
69,HEAT,0.0,0.0,0.0
70,HEAT,0.0,0.0,0.0
71,HEAT,0.0,0.0,0.0
72,HEAT,0.0,0.0,0.0
73,HEAT,0.0,0.0,0.0
74,HEAT,0.0,0.0,0.0
75,HEAT,131.13980458410668,127.86130946950401,155.72851794362666
76,HEAT,134.87225749717334,131.500451059744,160.16080577789333
77,HEAT,139.59492646613333,136.10505330448,165.76897517853334
78,HEAT,144.1801094868267,140.575606749656,171.21388001560666
79,HEAT,146.1386642093867,142.48519760415203,173.5396637486467
80,HEAT,147.47485201536003,143.78798071497602,175.12638676824002
81,HEAT,127.95896272170667,124.75998865366401,151.95126823202668
82,HEAT,119.79495646816002,116.800082556456,142.25651080594
83,HEAT,110.09831322560001,107.34585539496,130.7417469554
84,HEAT,103.55494147340364,100.96606793656855,122.97149299966681
85,HEAT,117.66487978570667,114.723257791064,139.72704474552668
86,HEAT,114.96900020128001,112.09477519624801,136.52568773902001
87,HEAT,111.54657182069334,108.75790752517601,132.46155403707334
88,HEAT,113.24381782933334,110.4127223836,134.47703367233333
89,HEAT,117.99946553077335,115.049478892504,140.12436531779335
90,HEAT,122.46025650122668,119.39875008869602,145.4215545952067
91,HEAT,110.54159462869335,107.778054762976,131.26814362157333
92,HEAT,110.39052678794667,107.630763618248,131.0887505606867
93,HEAT,113.35657988714668,110.52266538996798,134.61093861598667
94,HEAT,114.48997489376,111.62772552141601,135.95684518634002
95,HEAT,115.86707097696001,112.970394202536,137.59214678514002
96,HEAT,117.29280154944001,114.36048151070402,139.28520183996
97,HEAT,116.94601650773335,114.02236609504001,138.87339460293336
98,HEAT,131.3184834519467,128.035521365648,155.94069909918667
99,HEAT,131.66986356213337,128.37811697308004,156.35796298003334
0,EE,0.0,0.0,0.0
1,EE,0.0,0.0,0.0
2,EE,0.0,0.0,0.0
3,EE,0.0,0.0,0.0
4,EE,0.0,0.0,0.0
5,EE,0.0,0.0,0.0
6,EE,0.0,0.0,0.0
7,EE,0.0,0.0,0.0
8,EE,0.0,0.0,0.0
9,EE,0.0,0.0,0.0
10,EE,0.0,0.0,0.0
11,EE,0.0,0.0,0.0
12,EE,0.0,0.0,0.0
13,EE,0.0,0.0,0.0
14,EE,0.0,0.0,0.0
15,EE,0.0,0.0,0.0
16,EE,0.0,0.0,0.0
17,EE,0.0,0.0,0.0
18,EE,0.0,0.0,0.0
19,EE,0.0,0.0,0.0
20,EE,0.0,0.0,0.0
21,EE,0.0,0.0,0.0
22,EE,0.0,0.0,0.0
23,EE,0.0,0.0,0.0
24,EE,0.0,0.0,0.0
25,EE,0.0,0.0,0.0
26,EE,0.0,0.0,0.0
27,EE,0.0,0.0,0.0
28,EE,0.0,0.0,0.0
29,EE,0.0,0.0,0.0
30,EE,0.0,0.0,0.0
31,EE,0.0,0.0,0.0
32,EE,0.0,0.0,0.0
33,EE,0.0,0.0,0.0
34,EE,0.0,0.0,0.0
35,EE,0.0,0.0,0.0
36,EE,0.0,0.0,0.0
37,EE,0.0,0.0,0.0
38,EE,0.0,0.0,0.0
39,EE,0.0,0.0,0.0
40,EE,0.0,0.0,0.0
41,EE,0.0,0.0,0.0
42,EE,0.0,0.0,0.0
