Hour,Energy Type,0,1,2
0,HEAT,238.33694139416,348.567776788959,566.05023581113
1,HEAT,239.40774388816004,350.133825436434,568.5933917343799
2,HEAT,240.36184870728,351.52920373439696,570.85939067979
3,HEAT,241.66388224512,353.433427783488,573.95172033216
4,HEAT,241.03775485832003,352.517716480293,572.46466778851
5,HEAT,239.76699159688008,350.659225210437,569.44660504259
6,HEAT,238.55108201072,348.880957440678,566.5588197754599
7,HEAT,256.41047738608,375.000323177142,608.97488379194
8,HEAT,254.65192736312002,372.428443768563,604.7983274874099
9,HEAT,252.52519877752,369.318103212123,599.7473470966099
10,HEAT,258.99344882632,378.777918908493,615.1094409625101
11,HEAT,255.92463099192003,374.289772825683,607.8209986058099
12,HEAT,252.94810654208,369.936605817792,600.75175303744
13,HEAT,251.61544950799998,367.98759490545,597.5866925815
14,HEAT,251.57813413688,367.933021175187,597.49806857509
15,HEAT,232.4060329868,339.893823243195,551.96432834365
16,HEAT,230.9705347504,337.79440707246,548.5550200322
17,HEAT,230.57735489048002,337.2193815273271,547.62121786489
18,HEAT,220.86219307464,323.010957371661,524.54770855227
19,HEAT,220.81731508304003,322.94532330894606,524.44112332222
20,HEAT,221.08526449104,323.33719931814596,525.07750316622
21,HEAT,221.34975597879998,323.724018118995,525.70567044965
22,HEAT,220.64173373288,322.688535584337,524.02411761559
23,HEAT,219.36838329687998,320.826260571687,520.99991033009
24,HEAT,218.30200890679998,319.26668802619497,518.46727115365
25,HEAT,10.821065656063201,15.82580852199243,25.7000309331501
26,HEAT,12.07453943021888,17.65901391669511,28.67703114676984
27,HEAT,13.45602987197128,19.679443687757995,31.95807094593179
28,HEAT,14.920683887136319,21.82150018493687,35.436624231948755
29,HEAT,13.9736689898728,20.436490897688973,33.18746385094789
30,HEAT,13.31656981398296,19.475483352950075,31.626853308209522
31,HEAT,12.65044031368832,18.501268958769167,30.044795745009758
32,HEAT,11.44303861270016,16.73544397107398,27.17721670516288
33,HEAT,9.82474469041296,14.368689109728955,23.33376863973078
34,HEAT,7.8820307508019045,11.527469973047785,18.719823033154523
35,HEAT,7.230752774426057,10.574975932598106,17.173037839261884
36,HEAT,5.752267189450104,8.412690764570776,13.661634574943996
37,HEAT,3.992523055147696,5.8390649681535045,9.482242255975777
38,HEAT,2.3926629367345043,3.4992695449742124,5.682574474744447
39,HEAT,1.2428264467281682,1.8176336783399454,2.951712810979399
40,HEAT,0.5662735125857616,0.8281750121566763,1.3448995923911837
41,HEAT,0.0,0.0,0.0
42,HEAT,0.0,0.0,0.0
43,HEAT,0.0,0.0,0.0
44,HEAT,0.0,0.0,0.0
45,HEAT,0.0674911056461184,0.09870574200744815,0.1602913759095312
46,HEAT,0.5129622558028089,0.7502072991116079,1.2182853575316708
47,HEAT,1.02239198773408,1.4952482820610922,2.42818097086844
48,HEAT,1.649862743009848,2.4129242616519027,3.9184240146483895
49,HEAT,2.309524243393496,3.3776792059629877,5.485120078059552
50,HEAT,0.0,0.0,0.0
51,HEAT,0.0,0.0,0.0
52,HEAT,0.0,0.0,0.0
53,HEAT,0.0,0.0,0.0
54,HEAT,0.0,0.0,0.0
55,HEAT,0.0,0.0,0.0
56,HEAT,0.0,0.0,0.0
57,HEAT,0.0,0.0,0.0
58,HEAT,0.0,0.0,0.0
59,HEAT,0.0,0.0,0.0
60,HEAT,0.0,0.0,0.0
61,HEAT,0.0,0.0,0.0
62,HEAT,0.0,0.0,0.0
