Hour,Energy Type,0,1,2
0,HEAT,357.50541209124,0.0,0.0
1,HEAT,359.11161583224003,0.0,0.0
2,HEAT,360.54277306091996,0.0,0.0
3,HEAT,362.49582336768,0.0,0.0
4,HEAT,361.55663228748,0.0,0.0
5,HEAT,359.65048739532006,0.0,0.0
6,HEAT,357.82662301607996,0.0,0.0
7,HEAT,384.61571607912,0.0,0.0
8,HEAT,381.97789104468,1615.9271744059763,0.0
9,HEAT,378.78779816627997,246.212068808082,0.0
10,HEAT,388.49017323948,252.518612605662,0.0
11,HEAT,383.88694648788,249.526515217122,0.0
12,HEAT,379.42215981312,246.62440387852797,0.0
13,HEAT,843.5387883990059,245.3250632703,0.0
14,HEAT,0.0,245.28868078345798,0.0
15,HEAT,348.6090494802,0.0,0.0
16,HEAT,346.4558021256,0.0,0.0
17,HEAT,345.86603233572,0.0,0.0
18,HEAT,331.29328961195995,0.0,0.0
19,HEAT,331.22597262456003,0.0,0.0
20,HEAT,331.62789673655993,215.55813287876398,0.0
21,HEAT,332.02463396819996,215.81601207933,0.0
22,HEAT,330.96260059931996,215.12569038955797,0.0
23,HEAT,329.05257494532,213.884173714458,0.0
24,HEAT,327.4530133602,212.84445868413,0.0
25,HEAT,16.2315984840948,10.55053901466162,0.0
26,HEAT,18.11180914532832,11.772675944463407,0.0
27,HEAT,20.18404480795692,13.119629125171997,0.0
28,HEAT,22.381025830704477,14.547666789957912,0.0
29,HEAT,20.9605034848092,42.64006584371882,0.0
30,HEAT,19.974854720974438,12.983655568633383,0.0
31,HEAT,40.17694248516963,0.0,0.0
32,HEAT,0.0,0.0,0.0
33,HEAT,14.737117035619438,9.579126073152636,0.0
34,HEAT,11.823046126202856,7.684979982031857,0.0
35,HEAT,10.846129161639086,7.049983955065405,0.0
36,HEAT,8.628400784175156,10.416649712738806,0.0
37,HEAT,5.988784582721544,0.0,0.0
38,HEAT,3.5889944051017557,2.3328463633161416,0.0
39,HEAT,1.8642396700922519,1.2117557855599639,0.0
40,HEAT,0.8494102688786425,0.5521166747711176,0.0
41,HEAT,0.0,0.0,0.0
42,HEAT,0.0,0.0,0.0
43,HEAT,0.0,0.0,0.0
44,HEAT,0.0,0.0,0.0
45,HEAT,0.10123665846917759,0.06580382800496544,0.0
46,HEAT,0.7694433837042132,0.5001381994077386,0.0
47,HEAT,1.53358798160112,0.996832188040728,0.0
48,HEAT,2.474794114514772,1.608616174434602,0.0
49,HEAT,3.464286365090244,2.2517861373086587,0.0
50,HEAT,0.0,0.0,0.0
51,HEAT,0.0,0.0,0.0
52,HEAT,0.0,0.0,0.0
53,HEAT,0.0,0.0,0.0
54,HEAT,0.0,0.0,0.0
55,HEAT,0.0,0.0,0.0
56,HEAT,0.0,0.0,0.0
57,HEAT,0.0,0.0,0.0
58,HEAT,0.0,0.0,0.0
59,HEAT,0.0,0.0,0.0
60,HEAT,0.0,0.0,0.0
61,HEAT,0.0,0.0,0.0
62,HEAT,0.0,0.0,0.0
63,HEAT,0.0,0.0,0.0
64,HEAT,0.0,0.0,0.0
65,HEAT,0.0,0.0,0.0
66,HEAT,0.0,0.0,0.0
67,HEAT,0.0,0.0,0.0
68,HEAT,0.0,0.0,0.0
69,HEAT,0.0,0.0,0.0
70,HEAT,0.0,0.0,0.0
71,HEAT,0.0,100.8610641391749,0.0
72,HEAT,155.17086790642296,0.0,0.0
73,HEAT,0.0,0.0,0.0
74,HEAT,0.0,0.0,0.0
75,HEAT,0.0,0.0,0.0
76,HEAT,131.06770242912,551.2627022174162,0.0
77,HEAT,137.54434843980002,0.0,0.0
78,HEAT,143.90117472263998,0.0,0.0
79,HEAT,147.91586314307997,0.0,0.0
80,HEAT,151.14509983127996,0.0,0.0
81,HEAT,151.944358209,98.76383283585,0.0
82,HEAT,168.93039931583996,109.80475955529602,0.0
83,HEAT,156.76584271392002,101.89779776404801,0.0
84,HEAT,147.79955104092,96.069708176598,0.0
85,HEAT,157.96542060864,102.67752339561599,0.0
86,HEAT,152.42505508644,99.076285806186,0.0
87,HEAT,142.64860898208,92.72159583835199,0.0
88,HEAT,138.7448219262,90.18413425202999,0.0
89,HEAT,289.58034584574807,190.70467459764723,0.0
90,HEAT,0.0,77.61948389447927,0.0
91,HEAT,122.50034961672,0.0,0.0
92,HEAT,126.71721281603999,82.366188330426,0.0
93,HEAT,117.42582945632111,173.01710693460035,0.0
94,HEAT,120.43150966331999,0.0,0.0
95,HEAT,124.11088195584,80.67207327129601,0.0
96,HEAT,128.05090222991998,83.23308644944801,0.0
97,HEAT,130.08500155032,84.555251007708,0.0
98,HEAT,131.37357669228,85.392824849982,0.0
99,HEAT,2463.5509248236467,86.181621858618,0.0
0,EE,0.0,0.0,0.0
1,EE,0.0,0.0,0.0
2,EE,0.0,0.0,0.0
3,EE,0.0,0.0,0.0
4,EE,0.0,0.0,0.0
5,EE,0.0,0.0,0.0
6,EE,0.0,0.0,0.0
7,EE,0.0,0.0,0.0
8,EE,0.0,0.0,0.0
9,EE,0.0,0.0,0.0
10,EE,0.0,0.0,0.0
11,EE,0.0,0.0,0.0
12,EE,0.0,0.0,0.0
13,EE,0.0,0.0,0.0
14,EE,0.0,0.0,0.0
15,EE,0.0,0.0,0.0
16,EE,0.0,0.0,0.0
17,EE,0.0,0.0,0.0
18,EE,0.0,0.0,0.0
19,EE,0.0,0.0,0.0
20,EE,0.0,0.0,0.0
21,EE,0.0,0.0,0.0
22,EE,0.0,0.0,0.0
23,EE,0.0,0.0,0.0
24,EE,0.0,0.0,0.0
25,EE,0.0,0.0,0.0
26,EE,0.0,0.0,0.0
27,EE,0.0,0.0,0.0
28,EE,0.0,0.0,0.0
29,EE,0.0,0.0,0.0
30,EE,0.0,0.0,0.0
31,EE,0.0,0.0,0.0
32,EE,0.0,0.0,0.0
33,EE,0.0,0.0,0.0
34,EE,0.0,0.0,0.0
35,EE,0.0,0.0,0.0
36,EE,0.0,0.0,0.0
37,EE,0.0,0.0,0.0
38,EE,0.0,0.0,0.0
39,EE,0.0,0.0,0.0
40,EE,0.0,0.0,0.0
41,EE,0.0,0.0,0.0
42,EE,0.0,0.0,0.0
43,EE,0.0,0.0,0.0
44,EE,0.0,0.0,0.0
45,EE,0.0,0.0,0.0
46,EE,0.0,0.0,0.0
47,EE,0.0,0.0,0.0
48,EE,0.0,0.0,0.0
49,EE,0.0,0.0,0.0
50,EE,0.0,0.0,0.0
51,EE,0.0,0.0,0.0
52,EE,0.0,0.0,0.0
53,EE,0.0,0.0,0.0
54,EE,0.0,0.0,0.0
55,EE,0.0,0.0,0.0
56,EE,0.0,0.0,0.0
57,EE,0.0,0.0,0.0
58,EE,0.0,0.0,0.0
59,EE,0.0,0.0,0.0
60,EE,0.0,0.0,0.0
61,EE,0.0,0.0,0.0
62,EE,0.0,0.0,0.0
63,EE,0.0,0.0,0.0
64,EE,0.0,0.0,0.0
65,EE,0.0,0.0,0.0
66,EE,0.0,0.0,0.0
67,EE,0.0,0.0,0.0
68,EE,0.0,0.0,0.0
69,EE,0.0,0.0,0.0
70,EE,0.0,0.0,0.0
71,EE,0.0,0.0,0.0
72,EE,0.0,0.0,0.0
73,EE,0.0,0.0,0.0
74,EE,0.0,0.0,0.0
75,EE,0.0,0.0,0.0
76,EE,0.0,0.0,0.0
77,EE,0.0,0.0,0.0
78,EE,0.0,0.0,0.0
79,EE,0.0,0.0,0.0
80,EE,0.0,0.0,0.0
81,EE,0.0,0.0,0.0
82,EE,0.0,0.0,0.0
83,EE,0.0,0.0,0.0
84,EE,0.0,0.0,0.0
85,EE,0.0,0.0,0.0
86,EE,0.0,0.0,0.0
87,EE,0.0,0.0,0.0
88,EE,0.0,0.0,0.0
89,EE,0.0,0.0,0.0
90,EE,0.0,0.0,0.0
91,EE,0.0,0.0,0.0
92,EE,0.0,0.0,0.0
93,EE,0.0,0.0,0.0
