Hour,0,1,2
0,59.64788154389231,25.554538782825794,0.0
1,56.07442519219364,21.654217452193656,0.0
2,55.856115409058944,21.236945856460032,0.0
3,55.7310537467767,20.868173242143808,0.0
4,56.629213909293114,21.857541187476986,0.0
5,59.50943549897869,25.02288173162851,0.0
6,61.5511378863922,31.510106595651543,0.0
7,0.0,0.0,0.0
8,0.0,0.0,0.0
9,0.0,0.0,0.0
10,0.0,0.0,0.0
11,0.0,0.0,0.0
12,0.0,0.0,0.0
13,0.0,0.0,0.0
14,0.0,0.0,0.0
15,0.0,0.0,0.0
16,0.0,0.0,0.0
17,0.0,0.0,0.0
18,0.0,0.0,0.0
19,0.0,0.0,0.0
20,0.0,0.0,0.0
21,0.0,0.0,0.0
22,0.0,0.0,0.0
23,0.0,0.0,0.0
24,0.0,0.0,0.0
25,0.0,0.0,0.0
26,0.0,0.0,0.0
27,0.0,0.0,0.0
28,0.0,0.0,0.0
29,0.0,0.0,0.0
30,0.0,0.0,0.0
31,0.0,0.0,0.0
32,0.0,0.0,0.0
33,0.0,0.0,0.0
34,0.0,0.0,0.0
35,0.0,0.0,0.0
36,0.0,0.0,0.0
37,0.0,0.0,0.0
38,0.0,0.0,0.0
39,0.0,0.0,0.0
40,0.0,0.0,0.0
41,0.0,0.0,0.0
42,0.0,0.0,0.0
43,0.0,0.0,0.0
44,0.0,39.21197591735944,0.0
45,0.0,42.50238240466597,0.0
46,0.0,42.15761973639037,0.0
47,0.0,36.53551411098969,0.0
48,26.87608292073491,27.547984993753268,0.0
49,20.50235135301595,21.014910136841344,0.0
50,18.526320805187932,18.989478825317626,0.0
51,15.836260105899713,16.232166608547203,0.0
52,14.996530291511096,15.37144354879887,0.0
53,14.868356227726133,15.240065133419284,0.0
54,0.0,0.0,0.0
55,0.0,0.0,0.0
56,0.0,0.0,0.0
57,0.0,0.0,0.0
58,0.0,0.0,0.0
59,0.0,0.0,0.0
60,0.0,0.0,0.0
61,0.0,0.0,0.0
62,0.0,0.0,0.0
63,0.0,0.0,0.0
64,0.0,0.0,0.0
65,0.0,0.0,0.0
66,0.0,0.0,0.0
67,0.0,0.0,0.0
68,0.0,0.0,0.0
69,0.0,0.0,0.0
70,0.0,0.0,0.0
71,0.0,0.0,0.0
72,0.0,0.0,0.0
73,0.0,0.0,0.0
74,0.0,0.0,0.0
75,0.0,0.0,0.0
76,0.0,0.0,0.0
77,0.0,0.0,0.0
78,0.0,0.0,0.0
79,0.0,0.0,0.0
80,0.0,0.0,0.0
81,0.0,0.0,0.0
82,0.0,0.0,0.0
83,0.0,0.0,0.0
84,0.0,0.0,0.0
85,0.0,0.0,0.0
86,0.0,0.0,0.0
87,0.0,0.0,0.0
88,0.0,0.0,0.0
89,0.0,0.0,0.0
90,0.0,0.0,0.0
91,0.0,0.0,0.0
92,0.0,56.024531012497285,0.0
93,0.0,58.539986204638815,0.0
94,0.0,59.79297113154162,0.0
95,0.0,57.39352181520157,0.0
96,50.46739874781716,51.266425260863286,0.0
97,42.3129201993095,42.90945263337006,0.0
98,35.59352479282732,35.96538051347686,0.0
99,238.5895776933816,30.231936202421558,0.0
