Hour,0,1,2
0,3739.6886019901194,2555.4538780265816,1963.3365160448127
1,3168.9098706992413,2165.421744977815,1663.6776821171015
2,3107.8457348301567,2123.694585467274,1631.6190107858324
3,3053.8790112545776,2086.8173243572946,1603.2864809086534
4,3198.6645643880456,2185.7541189984977,1679.2988963037237
5,3661.8851314090434,2502.2881731295133,1922.489693989748
6,4611.235111950516,3151.010659832852,2420.8984337740208
7,3728.971806090722,2064.155692409416,1231.7476355687627
8,0.0,0.0,0.0
9,0.0,0.0,0.0
10,0.0,0.0,0.0
11,0.0,0.0,0.0
12,0.0,0.0,0.0
13,0.0,0.0,0.0
14,1697.958406564949,0.0,0.0
15,6745.531207826805,4609.446325348317,3541.403884109073
16,7566.50917447835,5170.44793589354,3972.4173166011337
17,8081.065351612371,5522.061323601787,4242.559309596495
18,8374.315066791753,5722.448628974364,4396.51541006567
19,8395.627926787629,5737.012416638214,4407.704661563505
20,7965.89839992165,5443.363906613127,4182.0966599588655
21,7168.588094185567,4898.535197693471,3763.5087494474224
22,6037.039591245362,4125.310387350997,3169.4457854038146
23,4627.656898346391,3162.2322138700342,2429.5198716318555
24,3268.4097298186266,2233.4133153760617,1715.915108154779
25,2836.651193024161,1938.3783152331766,1489.2418763376845
26,2428.4819632005942,1659.4626748537391,1274.953030680312
27,2212.0335817519585,1511.5562808638385,1161.3176304197784
28,0.0,0.0,0.0
29,0.0,0.0,0.0
30,0.0,0.0,0.0
31,0.0,0.0,0.0
32,0.0,0.0,0.0
33,0.0,0.0,0.0
34,0.0,0.0,0.0
35,0.0,0.0,0.0
36,0.0,0.0,0.0
37,0.0,0.0,0.0
38,0.0,0.0,0.0
39,0.0,0.0,0.0
40,0.0,0.0,0.0
41,0.0,0.0,0.0
42,0.0,0.0,0.0
43,0.0,0.0,0.0
44,5738.33793843299,3921.1975912625435,3012.62741767732
45,6219.8608388,4250.238239846666,3265.4269403699996
46,6169.407766107216,4215.761973506598,3238.9390772062884
47,5346.660602540206,3653.551411735808,2806.996816333608
48,4031.412438950235,2754.7984999493274,2116.4915304488736
49,3075.3527027151626,2101.4910135220284,1614.5601689254606
50,2778.9481207398394,1898.9478825055571,1458.9477633884158
51,2375.439015804004,1623.216660799403,1247.1054832971022
52,2249.4795433687505,1537.144354635313,1180.976760268594
53,2230.2534345896865,1524.006513636286,1170.8830531595856
54,0.0,0.0,0.0
55,0.0,0.0,0.0
56,0.0,0.0,0.0
57,0.0,0.0,0.0
58,0.0,0.0,0.0
59,0.0,0.0,0.0
60,0.0,0.0,0.0
61,0.0,0.0,0.0
62,0.0,0.0,0.0
63,0.0,0.0,0.0
64,0.0,0.0,0.0
65,0.0,0.0,0.0
66,0.0,0.0,0.0
67,0.0,0.0,0.0
68,5183.568593228866,3542.1052053730587,2721.3735114451547
69,5679.9585300041235,3881.3049955028187,2981.978228252165
70,6345.6800946680405,4336.214731356496,3331.4820497007213
71,5887.5609208701035,4023.1666292612376,3090.969483456804
72,4752.964777591753,3247.8592646876973,2495.30650823567
73,3620.991502120623,2474.344193115759,1901.020538613327
74,2741.9764198123216,1873.6838868717532,1439.537620401469
75,3022.5819398051667,2065.4309922001976,1586.8555183977128
76,2673.5096955572326,1826.8982919641091,1403.5925901675473
77,2551.459780004449,1743.4975163363738,1339.516384502336
78,2539.6403824407835,1735.4209280012021,1333.3112007814111
79,2820.7572798009073,1927.5174745306201,1480.8975718954766
80,3405.520510079497,2327.1056818876564,1787.8982677917359
81,4386.476861740206,2997.425855522474,2302.9003524136083
82,0.0,0.0,0.0
83,0.0,0.0,0.0
84,0.0,0.0,0.0
85,0.0,0.0,0.0
86,0.0,0.0,0.0
87,0.0,0.0,0.0
88,0.0,0.0,0.0
89,0.0,0.0,0.0
90,0.0,0.0,0.0
91,6280.813626131959,4291.8893111901725,3297.4271537192785
92,6956.135873707217,4753.359513699932,3651.971333696289
93,7290.864830395877,4982.090967437183,3827.704035957835
94,7461.470776630928,5098.671697364468,3917.272157731237
95,7098.414032647423,4850.582922309073,3726.6673671398976
96,6182.134444795876,4224.458537277183,3245.620583517835
97,4963.066315501032,3391.4286489257047,2605.6098156380417
98,3785.081520966107,2586.4723726601733,1987.167798507206
99,2981.8202784355217,2037.5771902642732,1565.455646178649
