Hour,0,1,2
0,0.0,0.0,0.0
1,0.0,0.0,0.0
2,0.0,0.0,0.0
3,0.0,0.0,0.0
4,0.0,0.0,0.0
5,0.0,0.0,0.0
6,0.0,0.0,0.0
7,0.0,0.0,0.0
8,0.0,0.0,0.0
9,0.0,0.0,0.0
10,0.0,0.0,0.0
11,0.0,0.0,0.0
12,0.0,0.0,0.0
13,0.0,0.0,0.0
14,120.24332401298824,0.0,0.0
15,382.8346128449464,157.8057506678071,0.0
16,410.00280085593204,177.0118058052965,0.0
17,427.36180261956594,189.0493935491906,0.0
18,431.051513904047,195.90971188606352,0.0
19,431.7518339138405,196.40830744020238,0.0
20,417.2150475025725,280.2802766977592,0.0
21,390.0917649361046,257.24986976000463,0.0
22,350.8901094917072,0.0,0.0
23,301.8072232890614,0.0,0.0
24,256.5041422889469,0.0,0.0
25,103.62210808524071,0.0,0.0
26,90.40223829111717,0.0,0.0
27,83.82298600496816,0.0,0.0
28,0.0,0.0,0.0
29,0.0,0.0,0.0
30,0.0,0.0,0.0
31,0.0,0.0,0.0
32,0.0,0.0,0.0
33,0.0,0.0,0.0
34,0.0,0.0,0.0
35,0.0,0.0,0.0
36,0.0,0.0,0.0
37,0.0,0.0,0.0
38,0.0,0.0,0.0
39,0.0,0.0,0.0
40,0.0,0.0,0.0
41,0.0,0.0,0.0
42,0.0,0.0,0.0
43,0.0,0.0,0.0
44,196.4536870687059,0.0,0.0
45,212.97160278051942,0.0,0.0
46,211.46106963879615,0.0,0.0
47,183.54194000523165,0.0,0.0
48,0.0,0.0,0.0
49,0.0,0.0,0.0
50,0.0,0.0,0.0
51,0.0,0.0,0.0
52,0.0,0.0,0.0
53,0.0,0.0,0.0
54,0.0,0.0,0.0
55,0.0,0.0,0.0
56,0.0,0.0,0.0
57,0.0,0.0,0.0
58,0.0,0.0,0.0
59,0.0,0.0,0.0
60,0.0,0.0,0.0
61,0.0,0.0,0.0
62,0.0,0.0,0.0
63,0.0,0.0,0.0
64,0.0,0.0,0.0
65,0.0,0.0,0.0
66,0.0,0.0,0.0
67,0.0,0.0,0.0
68,177.46099536818824,121.26501350159532,0.0
69,194.4550508507294,132.87761808133178,0.0
70,217.24622441745882,148.45158668526355,0.0
71,201.56237976155293,170.20831458250532,0.0
72,212.6791805462,111.19141717930822,0.0
73,123.96570907260015,84.70990119961012,0.0
74,93.87236919592772,64.14611895055062,0.0
75,103.47898170391807,70.71063749767734,0.0
76,148.26028809573847,301.1552743550046,0.0
77,146.88525212635412,59.68915026516291,0.0
78,149.026560115402,59.41264588804115,0.0
79,160.1727674335039,65.98912765746005,0.0
80,181.79536390905562,79.66914746227152,0.0
81,214.24331778908945,144.2639007463058,0.0
82,0.0,0.0,0.0
83,0.0,0.0,0.0
84,0.0,0.0,0.0
85,0.0,0.0,0.0
86,0.0,0.0,0.0
87,0.0,0.0,0.0
88,0.0,0.0,0.0
89,0.0,0.0,0.0
90,0.0,0.0,0.0
91,259.2606332720592,146.9340928889812,0.0
92,283.77715244733355,0.0,0.0
93,291.8908016430285,0.0,0.0
94,298.8139138106157,0.0,0.0
95,287.5867446493468,0.0,0.0
96,0.0,0.0,0.0
97,0.0,0.0,0.0
98,0.0,0.0,0.0
99,0.0,0.0,0.0
