Hour,0,1,2
0,0.0,0.0,0.0
1,0.0,0.0,0.0
2,0.0,0.0,0.0
3,0.0,0.0,0.0
4,0.0,0.0,0.0
5,0.0,0.0,0.0
6,0.0,0.0,0.0
7,0.0,0.0,0.0
8,1008.9140360460635,0.0,0.0
9,992.9170473210479,0.0,0.0
10,1029.1222640605733,0.0,0.0
11,1021.8337142405018,0.0,0.0
12,1019.7696594429981,0.0,0.0
13,1014.3491627449387,0.0,0.0
14,752.7725779924311,0.0,0.0
15,0.0,0.0,0.0
16,0.0,0.0,0.0
17,0.0,0.0,0.0
18,0.0,0.0,0.0
19,0.0,0.0,0.0
20,797.8609667597085,0.0,0.0
21,0.0,0.0,0.0
22,0.0,0.0,0.0
23,0.0,0.0,0.0
24,0.0,0.0,0.0
25,0.0,0.0,0.0
26,0.0,0.0,0.0
27,0.0,0.0,0.0
28,149.68020696187818,0.0,0.0
29,135.23832477570932,0.0,0.0
30,113.86297403954053,0.0,0.0
31,98.81056009925615,0.0,0.0
32,97.73170111797842,0.0,0.0
33,89.15359668322247,0.0,0.0
34,79.98334962234337,0.0,0.0
35,76.25755010281978,0.0,0.0
36,75.75172565933245,0.0,0.0
37,68.47079189158076,0.0,0.0
38,57.18332127607729,0.0,0.0
39,45.3295420564457,0.0,0.0
40,33.447501882424696,0.0,0.0
41,23.874291110846382,0.0,0.0
42,21.64385538731513,0.0,0.0
43,30.713955887990988,0.0,0.0
44,0.0,0.0,0.0
45,59.67788246478287,0.0,0.0
46,0.0,0.0,0.0
47,0.0,0.0,0.0
48,0.0,0.0,0.0
49,0.0,0.0,0.0
50,0.0,0.0,0.0
51,0.0,0.0,0.0
52,0.0,0.0,0.0
53,0.0,0.0,0.0
54,56.72173567852559,0.0,0.0
55,58.1576355773674,0.0,0.0
56,43.29832967394293,0.0,0.0
57,39.32706703450201,0.0,0.0
58,33.32012454651034,0.0,0.0
59,21.991911803516572,0.0,0.0
60,26.666132124552945,0.0,0.0
61,14.005038725063292,0.0,0.0
62,0.0,0.0,0.0
63,0.0,0.0,0.0
64,0.0,0.0,0.0
65,35.758282701933034,0.0,0.0
66,49.69835987844738,0.0,0.0
67,37.07107461397819,0.0,0.0
68,0.0,0.0,0.0
69,0.0,0.0,0.0
70,0.0,0.0,0.0
71,0.0,0.0,0.0
72,0.0,0.0,0.0
73,0.0,0.0,0.0
74,0.0,0.0,0.0
75,0.0,0.0,0.0
76,0.0,0.0,0.0
77,0.0,0.0,0.0
78,0.0,0.0,0.0
79,0.0,0.0,0.0
80,516.8205527347053,0.0,0.0
81,0.0,0.0,0.0
82,464.70333972450874,0.0,0.0
83,583.9713507424545,0.0,0.0
84,501.23551270881444,0.0,0.0
85,488.7122574243851,0.0,0.0
86,449.78992693274006,0.0,0.0
87,410.08086040624147,0.0,0.0
88,417.54334105803974,0.0,0.0
89,449.2834759693857,0.0,0.0
90,484.22185976858236,0.0,0.0
91,0.0,0.0,0.0
92,0.0,0.0,0.0
93,0.0,0.0,0.0
94,0.0,0.0,0.0
95,0.0,0.0,0.0
96,0.0,0.0,0.0
97,0.0,0.0,0.0
98,0.0,0.0,0.0
99,0.0,0.0,0.0
