Hour,0,1,2
0,0.0,0.0,0.0
1,0.0,0.0,0.0
2,0.0,0.0,0.0
3,0.0,0.0,0.0
4,0.0,0.0,0.0
5,0.0,0.0,0.0
6,0.0,0.0,0.0
7,0.0,0.0,0.0
8,0.0,0.0,0.0
9,0.0,0.0,0.0
10,0.0,453.4027763223966,0.0
11,0.0,3188.7657044226817,2738.0565580021657
12,481.0640990035994,3124.990390334228,4898.721048982479
13,2922.5963556988954,3062.490582527543,4800.746628002829
14,4443.498338769114,4574.1150171059435,4704.731695442772
15,4857.142081165629,4978.57063319477,5099.999185223909
16,4375.107164812198,4484.484843932504,4593.862523052808
17,3855.868909935248,3952.26563268363,4048.662355432011
18,3317.655450006661,3400.596836256828,3483.538222506994
19,2773.473775437116,2842.8106198230435,2912.1474642089715
20,2238.9596477519026,2294.9336389457003,2350.907630139498
21,1739.6556638328645,1783.147055428686,1826.6384470245077
22,1295.8313475237367,1328.2271312118298,1360.6229148999234
23,925.4483438986738,948.5845524961404,971.7207610936074
24,642.8907186999943,658.9629866674941,675.035254634994
25,443.54129033187604,454.62982259017286,465.7183548484698
26,272.81448467422507,279.6348467910807,286.4552089079363
27,128.791871223134,132.01166800371234,135.23146478429067
28,0.0,0.0,0.0
29,0.0,0.0,0.0
30,0.0,0.0,0.0
31,0.0,0.0,0.0
32,0.0,0.0,0.0
33,0.0,0.0,0.0
34,0.0,0.0,0.0
35,0.0,0.0,0.0
36,0.0,0.0,0.0
37,0.0,0.0,0.0
38,0.0,0.0,0.0
39,0.0,0.0,0.0
40,0.0,0.0,0.0
41,0.0,0.0,0.0
42,0.0,0.0,2747.0410608395996
43,0.0,0.0,2692.1002396228077
44,1408.4014396224543,0.0,2638.2582348303517
45,1052.8105990092993,0.0,2241.699117722004
46,676.8564449987603,0.0,1824.2222962356927
47,311.3001670804322,0.0,1418.1177438417083
48,0.0,0.0,1069.4275170391095
49,0.0,0.0,806.5099332738996
50,0.0,0.0,606.1299270815385
51,0.0,0.0,427.515642597991
52,0.0,0.0,276.6485863531589
53,0.0,0.0,136.34532549164823
54,0.0,0.0,0.0
55,0.0,0.0,0.0
56,0.0,0.0,0.0
57,0.0,0.0,0.0
58,0.0,0.0,0.0
59,0.0,0.0,0.0
60,263.6768528052821,0.0,0.0
61,0.0,0.0,0.0
62,0.0,0.0,0.0
63,0.0,0.0,0.0
64,0.0,0.0,0.0
65,0.0,0.0,0.0
66,0.0,0.0,0.0
67,3710.580799068554,3803.345319045268,3896.1098390219813
68,3636.3691830871826,3727.2784126643623,3818.1876422415417
69,3267.8734737668506,3349.570310611022,3431.2671474551935
70,2878.424252899278,2950.38485922176,3022.3454655442424
71,2458.778727121293,2520.248195299325,2581.7176634773573
72,2073.665852967102,2125.507499291279,2177.349145615457
73,1760.9939574402308,1805.018806376236,1849.0436553122422
74,1519.1645631813872,1557.1436772609213,1595.1227913404562
75,1332.327323271906,1365.6355063537032,1398.943689435501
76,1133.2158072919824,1161.5462024742817,1189.8765976565815
77,958.0041732272821,981.954277557964,1005.9043818886461
78,793.260796447439,813.0923163586249,832.9238362698109
79,632.4866881113007,648.2988553140832,664.1110225168658
80,458.88786253025773,470.3600590935141,481.8322556567706
81,255.39511145066032,261.7799892369268,268.1648670231933
82,0.0,0.0,0.0
83,0.0,0.0,0.0
84,0.0,0.0,0.0
85,0.0,0.0,0.0
86,0.0,0.0,0.0
87,0.0,0.0,0.0
88,0.0,0.0,0.0
89,0.0,0.0,0.0
90,1397.3780392566744,0.0,3330.9479156250964
91,2130.619480668229,374.8318695633134,3264.3289573125944
92,1729.6312547894527,0.0,2822.7477500876603
93,1298.1297004936637,0.0,2349.5384194259073
94,856.1589367859079,0.0,1865.739072854613
95,413.29301378007204,0.0,1381.394409913897
96,0.0,0.0,928.4880105359251
97,0.0,0.0,539.5356660627714
98,0.0,0.0,231.3988913299394
99,0.0,0.0,0.0
