Hour,0,1,2
0,0.0,0.0,0.0
1,0.0,0.0,0.0
2,0.0,0.0,0.0
3,0.0,0.0,0.0
4,0.0,0.0,0.0
5,0.0,0.0,0.0
6,6.7810838314139374,7.120138022984634,3.315196539802369
7,0.0,0.0,0.0
8,0.0,0.0,0.0
9,0.0,0.0,0.0
10,0.0,0.0,0.0
11,0.0,0.0,0.0
12,0.0,0.0,0.0
13,0.0,0.0,0.0
14,0.0,0.0,0.0
15,1188.627581601836,1248.0589606819278,581.1068176720086
16,809.6866556116698,850.1709883922532,395.8468094101496
17,438.3245481413069,460.2407755483722,214.29200131352778
18,74.38968282035127,78.10916696136884,36.3682893788384
19,66.25642700915859,69.56924835961652,32.392030982255314
20,58.28583631418976,61.20012812989925,28.495297753603886
21,50.474657433120306,52.99839030477632,24.676499189525487
22,42.819702129672244,44.960687236155856,20.934076596728655
23,35.317845932293146,37.0837382289078,17.26650245578776
24,27.96602685886162,29.3643282018047,13.672279797665682
25,20.76124416689873,21.799306375243663,10.149941592706046
26,13.700557128775097,14.385584985213852,6.698050151845603
27,6.7810838314139374,7.120138022984634,3.315196539802369
28,0.0,0.0,0.0
29,0.0,0.0,0.0
30,0.0,0.0,0.0
31,0.0,0.0,0.0
32,0.0,0.0,0.0
33,0.0,0.0,0.0
34,0.0,0.0,0.0
35,0.0,0.0,0.0
36,0.0,0.0,0.0
37,0.0,0.0,0.0
38,0.0,0.0,0.0
39,0.0,0.0,0.0
40,0.0,0.0,0.0
41,0.0,0.0,0.0
42,0.0,0.0,0.0
43,0.0,0.0,0.0
44,27.96602685886162,0.0,36.3682893788384
45,20.76124416689873,0.0,32.392030982255314
46,13.700557128775097,0.0,28.495297753603886
47,6.7810838314139374,0.0,24.676499189525487
48,0.0,0.0,20.934076596728655
49,0.0,0.0,17.26650245578776
50,0.0,0.0,13.672279797665682
51,0.0,0.0,10.149941592706046
52,0.0,0.0,6.698050151845603
53,0.0,0.0,3.315196539802369
54,0.0,0.0,0.0
55,0.0,0.0,0.0
56,0.0,0.0,0.0
57,0.0,0.0,0.0
58,0.0,0.0,177.18150194736614
59,0.0,0.0,0.0
60,0.0,0.0,0.0
61,0.0,0.0,0.0
62,0.0,0.0,0.0
63,0.0,0.0,0.0
64,0.0,0.0,0.0
65,0.0,0.0,0.0
66,0.0,0.0,0.0
67,0.0,116.37511683203215,0.0
68,108.61677570989666,114.0476144953915,53.10153479150501
69,99.79897804091304,104.78892694295872,48.79061148666859
70,91.15753632530912,95.7154131415746,44.5659066479289
71,82.68892344401728,86.82336961621816,40.425695905964
72,74.38968282035127,78.10916696136884,36.3682893788384
73,66.25642700915859,69.56924835961652,32.392030982255314
74,58.28583631418976,61.20012812989925,28.495297753603886
75,50.474657433120306,52.99839030477632,24.676499189525487
76,42.819702129672244,44.960687236155856,20.934076596728655
77,35.317845932293146,37.0837382289078,17.26650245578776
78,27.96602685886162,29.3643282018047,13.672279797665682
79,20.76124416689873,21.799306375243663,10.149941592706046
80,13.700557128775097,14.385584985213852,6.698050151845603
81,6.7810838314139374,7.120138022984634,3.315196539802369
82,0.0,0.0,0.0
83,0.0,0.0,0.0
84,0.0,0.0,0.0
85,0.0,0.0,0.0
86,0.0,0.0,0.0
87,0.0,0.0,0.0
88,0.0,0.0,0.0
89,0.0,0.0,0.0
90,0.0,0.0,0.0
91,753.8469652186538,380.5375439551387,379.7762005158246
92,383.60165155615124,0.0,198.54280459708926
93,20.76124416689873,0.0,20.934076596728655
94,13.700557128775097,0.0,17.26650245578776
95,6.7810838314139374,0.0,13.672279797665682
96,0.0,0.0,10.149941592706046
97,0.0,0.0,6.698050151845603
98,0.0,0.0,3.315196539802369
99,0.0,0.0,0.0
