Hour,0,1,2
0,0.0,0.0,0.0
1,0.0,0.0,0.0
2,0.0,0.0,0.0
3,0.0,0.0,0.0
4,0.0,0.0,0.0
5,0.0,0.0,0.0
6,0.0,0.0,0.0
7,6289.091967048326,0.0,0.0
8,7113.917762032373,0.0,0.0
9,6033.864548365986,0.0,0.0
10,4980.608855561277,0.0,0.0
11,3901.6805029450916,0.0,0.0
12,2840.8299836751385,0.0,0.0
13,1792.652024395389,0.0,0.0
14,760.3763414064961,0.0,0.0
15,0.0,0.0,0.0
16,0.0,0.0,0.0
17,0.0,0.0,0.0
18,0.0,0.0,0.0
19,0.0,0.0,0.0
20,805.92016844415,0.0,0.0
21,0.0,0.0,0.0
22,0.0,0.0,0.0
23,0.0,0.0,0.0
24,0.0,0.0,0.0
25,0.0,0.0,0.0
26,0.0,0.0,0.0
27,0.0,0.0,0.0
28,1275.7829233886825,0.0,0.0
29,1113.3448871929174,0.0,0.0
30,966.9731135452788,0.0,0.0
31,843.4404083702854,0.0,0.0
32,736.1954441873264,0.0,0.0
33,631.1017886274745,0.0,0.0
34,535.6371740579774,0.0,0.0
35,450.2974526950542,0.0,0.0
36,369.53692806528386,0.0,0.0
37,290.08983312529847,0.0,0.0
38,218.71814290246476,0.0,0.0
39,159.34764019736278,0.0,0.0
40,112.42462173894344,0.0,0.0
41,77.8528736391293,0.0,0.0
42,53.20005379189162,0.0,0.0
43,31.024197866657563,0.0,0.0
44,0.0,0.0,0.0
45,60.28068935836654,0.0,0.0
46,0.0,0.0,0.0
47,0.0,0.0,0.0
48,0.0,0.0,0.0
49,0.0,0.0,0.0
50,0.0,0.0,0.0
51,0.0,0.0,0.0
52,0.0,0.0,0.0
53,448.5143630250698,0.0,0.0
54,444.0292193948191,0.0,0.0
55,382.8671915223453,0.0,0.0
56,320.8808840297544,0.0,0.0
57,274.3737455155139,0.0,0.0
58,232.3029410258567,0.0,0.0
59,196.6597870690878,0.0,0.0
60,172.70127739488032,0.0,0.0
61,144.30813249637856,0.0,0.0
62,128.86001244635148,0.0,0.0
63,127.57141232188793,0.0,0.0
64,126.29569819866904,0.0,0.0
65,125.03274121668235,0.0,0.0
66,88.02413110258249,0.0,0.0
67,37.44552991310928,0.0,0.0
68,0.0,0.0,0.0
69,0.0,0.0,0.0
70,0.0,0.0,0.0
71,0.0,0.0,0.0
72,0.0,0.0,0.0
73,0.0,0.0,0.0
74,0.0,0.0,0.0
75,0.0,0.0,0.0
76,0.0,0.0,0.0
77,0.0,0.0,0.0
78,0.0,0.0,0.0
79,0.0,0.0,0.0
80,522.0409623582882,0.0,0.0
81,0.0,0.0,0.0
82,4464.0426654008315,0.0,0.0
83,3954.698899022314,0.0,0.0
84,3331.1805592896358,0.0,0.0
85,2796.633240987925,0.0,0.0
86,2279.954651153661,0.0,0.0
87,1807.3651777093837,0.0,0.0
88,1379.2106655260484,0.0,0.0
89,947.8752178127479,0.0,0.0
90,489.1129896652347,0.0,0.0
91,0.0,0.0,0.0
92,0.0,0.0,0.0
93,0.0,0.0,0.0
94,0.0,0.0,0.0
95,0.0,0.0,0.0
96,0.0,0.0,0.0
97,0.0,0.0,0.0
98,0.0,0.0,0.0
99,0.0,0.0,0.0
