hour_idx,EE
0,2.58
1,2.59
2,2.59
3,2.59
4,2.59
5,2.59
6,2.68
7,2.68
8,2.68
9,2.69
10,2.69
11,2.68
12,2.8
13,2.8
14,2.8
15,2.8
16,2.8
17,2.8
18,2.73
19,2.73
20,2.73
21,2.73
22,2.72
23,2.72
24,2.66
25,2.66
26,2.66
27,2.66
28,2.66
29,2.66
30,2.79
31,2.79
32,2.79
33,2.79
34,2.79
35,2.78
36,3.0
37,3.0
38,3.0
39,3.0
40,3.0
41,3.0
42,3.0
43,3.0
44,3.0
45,3.0
46,3.0
47,3.0
48,2.96
49,2.96
50,2.97
51,2.97
52,2.97
53,2.97
54,2.93
55,2.93
56,2.93
57,2.93
58,2.93
59,2.93
60,3.0
61,3.0
62,3.0
63,3.0
64,3.0
65,3.0
66,2.86
67,2.86
68,2.86
69,2.86
70,2.86
71,2.86
72,2.78
73,2.78
74,2.78
75,2.78
76,2.78
77,2.78
78,2.78
79,2.78
80,2.78
81,2.78
82,2.78
83,2.78
84,2.88
85,2.88
86,2.88
87,2.88
88,2.88
89,2.88
90,2.73
91,2.73
92,2.73
93,2.73
94,2.73
95,2.73
96,2.69
97,2.69
98,2.69
99,2.69
100,2.69
101,2.69
102,2.62
103,2.62
104,2.62
105,2.62
106,2.62
107,2.62
108,2.75
109,2.75
110,2.75
111,2.75
112,2.75
113,2.75
114,2.61
115,2.61
116,2.61
117,2.61
118,2.61
119,2.61
120,2.44
121,2.44
122,2.44
123,2.44
124,2.44
125,2.44
126,2.21
127,2.21
128,2.21
129,2.21
130,2.21
131,2.21
132,2.29
133,2.29
134,2.29
135,2.29
136,2.3
137,2.3
138,2.01
139,2.01
140,2.01
141,2.01
142,2.01
143,2.01
144,1.8700000000000003
145,1.8700000000000003
146,1.8700000000000003
147,1.8700000000000003
148,1.8800000000000001
149,1.8800000000000001
150,1.8800000000000001
151,1.8899999999999997
152,1.8899999999999997
153,1.8899999999999997
154,1.8899999999999997
155,1.8899999999999997
156,2.23
157,2.23
158,2.23
159,2.23
160,2.23
161,2.23
162,2.26
163,2.26
164,2.26
165,2.26
166,2.25
167,2.25
168,2.32
169,2.32
170,2.32
171,2.33
172,2.33
173,2.33
174,2.39
175,2.39
